N.º,Fecha Tiempo. GMT-03:00,Velocidad del viento. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Velocidad de Ráfagas. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Dirección del viento. ø (LGR S/N: 20682650. SEN S/N: 20679483. LBL: N-S)
33,31/05/22 12:33:59,45.684,62.532,342.6
34,31/05/22 12:38:59,39.672,54.108,335.5
35,31/05/22 12:43:59,42.084,69.732,346.8
36,31/05/22 12:48:59,46.872,70.92,341.2
37,31/05/22 12:53:59,44.496,68.544,348.2
38,31/05/22 12:58:59,43.272,70.92,339.7
39,31/05/22 13:03:59,44.496,63.72,335.5
40,31/05/22 13:08:59,48.096,64.908,349.6
41,31/05/22 13:13:59,39.672,60.12,327.1
42,31/05/22 13:18:59,42.084,58.896,345.4
43,31/05/22 13:23:59,46.872,63.72,352.4
44,31/05/22 13:28:59,44.496,61.308,338.3
45,31/05/22 13:33:59,44.496,57.708,334.1
46,31/05/22 13:38:59,36.072,55.296,338.3
47,31/05/22 13:43:59,40.86,61.308,352.4
48,31/05/22 13:48:59,43.272,78.156,336.9
49,31/05/22 13:53:59,45.684,79.344,355.2
50,31/05/22 13:58:59,46.872,61.308,344
51,31/05/22 14:03:59,43.272,60.12,342.6
52,31/05/22 14:08:59,48.096,68.544,0
53,31/05/22 14:13:59,48.096,73.332,349.6
54,31/05/22 14:18:59,40.86,62.532,325.7
55,31/05/22 14:23:59,39.672,56.52,339.7
56,31/05/22 14:28:59,45.684,74.556,346.8
57,31/05/22 14:33:59,40.86,68.544,346.8
58,31/05/22 14:38:59,40.86,55.296,351
59,31/05/22 14:43:59,39.672,56.52,5.6
60,31/05/22 14:48:59,44.496,57.708,355.2
61,31/05/22 14:53:59,42.084,61.308,16.8
62,31/05/22 14:58:59,45.684,63.72,346.8
63,31/05/22 15:03:59,54.108,80.568,346.8
64,31/05/22 15:08:59,44.496,69.732,352.4
65,31/05/22 15:13:59,40.86,60.12,341.2
66,31/05/22 15:18:59,32.472,57.708,338.3
67,31/05/22 15:23:59,44.496,63.72,344
68,31/05/22 15:28:59,51.696,69.732,342.6
69,31/05/22 15:33:59,36.072,54.108,339.7
70,31/05/22 15:38:59,50.508,78.156,351
71,31/05/22 15:43:59,38.484,56.52,353.8
72,31/05/22 15:48:59,46.872,69.732,1.4
73,31/05/22 15:53:59,48.096,62.532,355.2
74,31/05/22 15:58:59,46.872,68.544,345.4
75,31/05/22 16:03:59,48.096,64.908,8.4
76,31/05/22 16:08:59,39.672,56.52,351
77,31/05/22 16:13:59,40.86,58.896,351
78,31/05/22 16:18:59,48.096,73.332,339.7
79,31/05/22 16:23:59,44.496,61.308,339.7
80,31/05/22 16:28:59,38.484,55.296,339.7
81,31/05/22 16:33:59,45.684,68.544,345.4
82,31/05/22 16:38:59,39.672,76.932,346.8
83,31/05/22 16:43:59,42.084,57.708,339.7
84,31/05/22 16:48:59,39.672,61.308,352.4
85,31/05/22 16:53:59,42.084,55.296,336.9
86,31/05/22 16:58:59,44.496,60.12,349.6
87,31/05/22 17:03:59,39.672,60.12,344
88,31/05/22 17:08:59,36.072,62.532,348.2
89,31/05/22 17:13:59,38.484,52.884,339.7
90,31/05/22 17:18:59,44.496,67.32,349.6
91,31/05/22 17:23:59,42.084,62.532,352.4
92,31/05/22 17:28:59,46.872,63.72,352.4
93,31/05/22 17:33:59,42.084,54.108,344
94,31/05/22 17:38:59,42.084,54.108,341.2
95,31/05/22 17:43:59,37.26,55.296,353.8
96,31/05/22 17:48:59,39.672,52.884,353.8
97,31/05/22 17:53:59,38.484,48.096,349.6
98,31/05/22 17:58:59,38.484,58.896,1.4
99,31/05/22 18:03:59,43.272,62.532,352.4
100,31/05/22 18:08:59,39.672,58.896,355.2
101,31/05/22 18:13:59,39.672,55.296,341.2
102,31/05/22 18:18:59,39.672,56.52,346.8
103,31/05/22 18:23:59,32.472,48.096,1.4
104,31/05/22 18:28:59,39.672,55.296,351
105,31/05/22 18:33:59,38.484,54.108,352.4
106,31/05/22 18:38:59,38.484,55.296,351
107,31/05/22 18:43:59,38.484,55.296,352.4
108,31/05/22 18:48:59,37.26,51.696,341.2
109,31/05/22 18:53:59,34.848,49.284,352.4
110,31/05/22 18:58:59,32.472,42.084,355.2
111,31/05/22 19:03:59,36.072,51.696,18.3
112,31/05/22 19:08:59,32.472,45.684,7
113,31/05/22 19:13:59,32.472,43.272,355.2
114,31/05/22 19:18:59,32.472,50.508,346.8
115,31/05/22 19:23:59,37.26,55.296,351
116,31/05/22 19:28:59,32.472,48.096,345.4
117,31/05/22 19:33:59,37.26,57.708,352.4
118,31/05/22 19:38:59,31.248,48.096,352.4
119,31/05/22 19:43:59,36.072,48.096,349.6
120,31/05/22 19:48:59,32.472,44.496,352.4
121,31/05/22 19:53:59,28.872,44.496,2.8
122,31/05/22 19:58:59,30.06,43.272,348.2
123,31/05/22 20:03:59,31.248,46.872,1.4
124,31/05/22 20:08:59,37.26,51.696,1.4
125,31/05/22 20:13:59,33.66,44.496,353.8
126,31/05/22 20:18:59,33.66,44.496,351
127,31/05/22 20:23:59,39.672,57.708,339.7
128,31/05/22 20:28:59,40.86,49.284,341.2
129,31/05/22 20:33:59,40.86,54.108,345.4
130,31/05/22 20:38:59,38.484,49.284,341.2
131,31/05/22 20:43:59,36.072,49.284,342.6
132,31/05/22 20:48:59,34.848,46.872,348.2
133,31/05/22 20:53:59,33.66,49.284,349.6
134,31/05/22 20:58:59,34.848,50.508,355.2
135,31/05/22 21:03:59,39.672,60.12,341.2
136,31/05/22 21:08:59,37.26,51.696,12.6
137,31/05/22 21:13:59,32.472,45.684,348.2
138,31/05/22 21:18:59,33.66,44.496,339.7
139,31/05/22 21:23:59,37.26,50.508,341.2
140,31/05/22 21:28:59,32.472,42.084,342.6
141,31/05/22 21:33:59,30.06,42.084,346.8
142,31/05/22 21:38:59,31.248,45.684,345.4
143,31/05/22 21:43:59,27.648,39.672,351
144,31/05/22 21:48:59,32.472,40.86,345.4
145,31/05/22 21:53:59,32.472,45.684,342.6
146,31/05/22 21:58:59,30.06,42.084,355.2
147,31/05/22 22:03:59,28.872,39.672,0
148,31/05/22 22:08:59,27.648,36.072,14
149,31/05/22 22:13:59,32.472,46.872,16.8
150,31/05/22 22:18:59,27.648,39.672,12.6
151,31/05/22 22:23:59,28.872,43.272,351
152,31/05/22 22:28:59,28.872,44.496,353.8
153,31/05/22 22:33:59,27.648,42.084,19.7
154,31/05/22 22:38:59,25.236,32.472,21.1
155,31/05/22 22:43:59,28.872,44.496,49.1
156,31/05/22 22:48:59,26.46,34.848,36.5
157,31/05/22 22:53:59,27.648,39.672,36.5
158,31/05/22 22:58:59,26.46,34.848,47.7
159,31/05/22 23:03:59,28.872,38.484,73
160,31/05/22 23:08:59,24.048,32.472,75.8
161,31/05/22 23:13:59,27.648,37.26,47.7
162,31/05/22 23:18:59,19.224,27.648,49.1
163,31/05/22 23:23:59,24.048,37.26,74.4
164,31/05/22 23:28:59,22.86,31.248,44.9
165,31/05/22 23:33:59,27.648,38.484,81.4
166,31/05/22 23:38:59,26.46,34.848,108.1
167,31/05/22 23:43:59,26.46,42.084,85.6
168,31/05/22 23:48:59,22.86,31.248,70.2
169,31/05/22 23:53:59,24.048,33.66,105.3
170,31/05/22 23:58:59,19.224,25.236,84.2
171,01/06/22 00:03:59,25.236,36.072,80
172,01/06/22 00:08:59,27.648,37.26,78.6
173,01/06/22 00:13:59,22.86,37.26,29.5
174,01/06/22 00:18:59,19.224,27.648,26.7
175,01/06/22 00:23:59,20.448,31.248,42.1
176,01/06/22 00:28:59,28.872,44.496,26.7
177,01/06/22 00:33:59,30.06,50.508,22.5
178,01/06/22 00:38:59,32.472,50.508,1.4
179,01/06/22 00:43:59,36.072,48.096,33.7
180,01/06/22 00:48:59,32.472,52.884,11.2
181,01/06/22 00:53:59,33.66,52.884,40.7
182,01/06/22 00:58:59,36.072,60.12,7
183,01/06/22 01:03:59,34.848,55.296,9.8
184,01/06/22 01:08:59,36.072,54.108,15.4
185,01/06/22 01:13:59,34.848,44.496,348.2
186,01/06/22 01:18:59,30.06,48.096,346.8
187,01/06/22 01:23:59,25.236,39.672,351
188,01/06/22 01:28:59,30.06,45.684,341.2
189,01/06/22 01:33:59,31.248,44.496,351
190,01/06/22 01:38:59,37.26,54.108,329.9
191,01/06/22 01:43:59,37.26,56.52,329.9
192,01/06/22 01:48:59,37.26,51.696,314.5
193,01/06/22 01:53:59,37.26,49.284,329.9
194,01/06/22 01:58:59,32.472,44.496,324.3
195,01/06/22 02:03:59,36.072,48.096,325.7
196,01/06/22 02:08:59,31.248,49.284,320.1
197,01/06/22 02:13:59,31.248,42.084,327.1
198,01/06/22 02:18:59,30.06,49.284,311.7
199,01/06/22 02:23:59,33.66,54.108,314.5
200,01/06/22 02:28:59,25.236,37.26,332.7
201,01/06/22 02:33:59,26.46,43.272,329.9
202,01/06/22 02:38:59,34.848,46.872,331.3
203,01/06/22 02:43:59,30.06,45.684,320.1
204,01/06/22 02:48:59,28.872,48.096,351
205,01/06/22 02:53:59,24.048,45.684,325.7
206,01/06/22 02:58:59,33.66,54.108,331.3
207,01/06/22 03:03:59,28.872,50.508,311.7
208,01/06/22 03:08:59,27.648,48.096,349.6
209,01/06/22 03:13:59,24.048,34.848,321.5
210,01/06/22 03:18:59,25.236,38.484,315.9
211,01/06/22 03:23:59,28.872,66.132,342.6
212,01/06/22 03:28:59,30.06,51.696,336.9
213,01/06/22 03:33:59,33.66,52.884,329.9
214,01/06/22 03:38:59,27.648,44.496,332.7
215,01/06/22 03:43:59,33.66,51.696,344
216,01/06/22 03:48:59,32.472,49.284,339.7
217,01/06/22 03:53:59,27.648,42.084,317.3
218,01/06/22 03:58:59,31.248,48.096,315.9
219,01/06/22 04:03:59,34.848,48.096,328.5
220,01/06/22 04:08:59,30.06,44.496,324.3
221,01/06/22 04:13:59,31.248,54.108,310.3
222,01/06/22 04:18:59,33.66,50.508,325.7
223,01/06/22 04:23:59,32.472,48.096,345.4
224,01/06/22 04:28:59,27.648,44.496,1.4
225,01/06/22 04:33:59,33.66,49.284,1.4
226,01/06/22 04:38:59,34.848,49.284,353.8
227,01/06/22 04:43:59,31.248,45.684,338.3
228,01/06/22 04:48:59,31.248,45.684,339.7
229,01/06/22 04:53:59,31.248,61.308,14
230,01/06/22 04:58:59,21.636,31.248,331.3
231,01/06/22 05:03:59,30.06,50.508,320.1
232,01/06/22 05:08:59,28.872,44.496,325.7
233,01/06/22 05:13:59,30.06,42.084,324.3
234,01/06/22 05:18:59,30.06,46.872,322.9
235,01/06/22 05:23:59,32.472,44.496,331.3
236,01/06/22 05:28:59,37.26,51.696,317.3
237,01/06/22 05:33:59,36.072,56.52,318.7
238,01/06/22 05:38:59,33.66,45.684,327.1
239,01/06/22 05:43:59,31.248,40.86,351
240,01/06/22 05:48:59,31.248,42.084,328.5
241,01/06/22 05:53:59,34.848,49.284,338.3
242,01/06/22 05:58:59,37.26,49.284,336.9
243,01/06/22 06:03:59,39.672,48.096,341.2
244,01/06/22 06:08:59,42.084,57.708,335.5
245,01/06/22 06:13:59,36.072,52.884,331.3
246,01/06/22 06:18:59,38.484,55.296,349.6
247,01/06/22 06:23:59,36.072,51.696,335.5
248,01/06/22 06:28:59,33.66,49.284,342.6
249,01/06/22 06:33:59,38.484,54.108,328.5
250,01/06/22 06:38:59,32.472,43.272,332.7
251,01/06/22 06:43:59,33.66,46.872,351
252,01/06/22 06:48:59,31.248,50.508,351
253,01/06/22 06:53:59,31.248,49.284,331.3
254,01/06/22 06:58:59,32.472,48.096,342.6
255,01/06/22 07:03:59,28.872,48.096,339.7
256,01/06/22 07:08:59,33.66,51.696,331.3
257,01/06/22 07:13:59,36.072,54.108,329.9
258,01/06/22 07:18:59,36.072,55.296,332.7
259,01/06/22 07:23:59,37.26,57.708,336.9
260,01/06/22 07:28:59,39.672,55.296,325.7
261,01/06/22 07:33:59,33.66,51.696,325.7
262,01/06/22 07:38:59,33.66,61.308,334.1
263,01/06/22 07:43:59,28.872,57.708,346.8
264,01/06/22 07:48:59,36.072,62.532,332.7
265,01/06/22 07:53:59,33.66,51.696,338.3
266,01/06/22 07:58:59,36.072,57.708,7
267,01/06/22 08:03:59,31.248,57.708,345.4
268,01/06/22 08:08:59,36.072,56.52,324.3
269,01/06/22 08:13:59,33.66,48.096,342.6
270,01/06/22 08:18:59,32.472,52.884,341.2
271,01/06/22 08:23:59,34.848,44.496,336.9
272,01/06/22 08:28:59,33.66,45.684,353.8
273,01/06/22 08:33:59,34.848,48.096,336.9
274,01/06/22 08:38:59,28.872,45.684,353.8
275,01/06/22 08:43:59,28.872,42.084,355.2
276,01/06/22 08:48:59,31.248,49.284,336.9
277,01/06/22 08:53:59,26.46,40.86,318.7
278,01/06/22 08:58:59,26.46,40.86,308.9
279,01/06/22 09:03:59,27.648,52.884,329.9
280,01/06/22 09:08:59,21.636,33.66,329.9
281,01/06/22 09:13:59,28.872,44.496,322.9
282,01/06/22 09:18:59,24.048,38.484,321.5
283,01/06/22 09:23:59,19.224,31.248,328.5
284,01/06/22 09:28:59,24.048,34.848,301.8
285,01/06/22 09:33:59,27.648,38.484,313.1
286,01/06/22 09:38:59,19.224,34.848,313.1
287,01/06/22 09:43:59,16.848,26.46,308.9
288,01/06/22 09:48:59,19.224,33.66,318.7
289,01/06/22 09:53:59,24.048,38.484,351
290,01/06/22 09:58:59,20.448,42.084,329.9
291,01/06/22 10:03:59,31.248,51.696,311.7
292,01/06/22 10:08:59,28.872,42.084,308.9
293,01/06/22 10:13:59,28.872,38.484,317.3
294,01/06/22 10:18:59,26.46,49.284,320.1
295,01/06/22 10:23:59,31.248,46.872,325.7
296,01/06/22 10:28:59,33.66,50.508,307.5
297,01/06/22 10:33:59,30.06,51.696,331.3
298,01/06/22 10:38:59,26.46,38.484,324.3
299,01/06/22 10:43:59,21.636,39.672,338.3
300,01/06/22 10:48:59,31.248,46.872,303.2
301,01/06/22 10:53:59,32.472,48.096,311.7
302,01/06/22 10:58:59,33.66,46.872,306.1
303,01/06/22 11:03:59,34.848,50.508,324.3
304,01/06/22 11:08:59,27.648,49.284,338.3
305,01/06/22 11:13:59,34.848,48.096,328.5
306,01/06/22 11:18:59,32.472,48.096,318.7
307,01/06/22 11:23:59,30.06,51.696,329.9
308,01/06/22 11:28:59,27.648,48.096,336.9
309,01/06/22 11:33:59,28.872,48.096,315.9
310,01/06/22 11:38:59,36.072,51.696,342.6
311,01/06/22 11:43:59,36.072,55.296,328.5
312,01/06/22 11:48:59,37.26,60.12,322.9
313,01/06/22 11:53:59,34.848,56.52,332.7
314,01/06/22 11:58:59,36.072,56.52,328.5
315,01/06/22 12:03:59,40.86,56.52,317.3
316,01/06/22 12:08:59,38.484,56.52,311.7
317,01/06/22 12:13:59,43.272,62.532,332.7
318,01/06/22 12:18:59,40.86,60.12,300.4
319,01/06/22 12:23:59,40.86,67.32,341.2
320,01/06/22 12:28:59,42.084,56.52,325.7
321,01/06/22 12:33:59,44.496,61.308,327.1
322,01/06/22 12:38:59,42.084,61.308,334.1
323,01/06/22 12:43:59,44.496,66.132,318.7
324,01/06/22 12:48:59,42.084,62.532,311.7
325,01/06/22 12:53:59,49.284,64.908,334.1
326,01/06/22 12:58:59,39.672,52.884,329.9
327,01/06/22 13:03:59,38.484,62.532,332.7
328,01/06/22 13:08:59,45.684,63.72,325.7
329,01/06/22 13:13:59,46.872,64.908,313.1
330,01/06/22 13:18:59,52.884,68.544,338.3
331,01/06/22 13:23:59,48.096,67.32,329.9
332,01/06/22 13:28:59,45.684,62.532,329.9
333,01/06/22 13:33:59,48.096,68.544,11.2
334,01/06/22 13:38:59,43.272,68.544,351
335,01/06/22 13:43:59,43.272,63.72,346.8
336,01/06/22 13:48:59,48.096,70.92,336.9
337,01/06/22 13:53:59,51.696,74.556,341.2
338,01/06/22 13:58:59,54.108,82.944,341.2
339,01/06/22 14:03:59,52.884,70.92,338.3
340,01/06/22 14:08:59,54.108,73.332,335.5
341,01/06/22 14:13:59,49.284,80.568,336.9
342,01/06/22 14:18:59,50.508,68.544,345.4
343,01/06/22 14:23:59,52.884,68.544,346.8
344,01/06/22 14:28:59,55.296,78.156,335.5
345,01/06/22 14:33:59,54.108,75.744,339.7
346,01/06/22 14:38:59,57.708,80.568,339.7
347,01/06/22 14:43:59,58.896,80.568,348.2
348,01/06/22 14:48:59,49.284,68.544,7
349,01/06/22 14:53:59,46.872,72.144,338.3
350,01/06/22 14:58:59,43.272,63.72,349.6
351,01/06/22 15:03:59,58.896,86.58,339.7
352,01/06/22 15:08:59,57.708,78.156,346.8
353,01/06/22 15:13:59,50.508,72.144,352.4
354,01/06/22 15:18:59,54.108,78.156,338.3
355,01/06/22 15:23:59,57.708,84.168,341.2
356,01/06/22 15:28:59,60.12,86.58,332.7
357,01/06/22 15:33:59,56.52,73.332,5.6
358,01/06/22 15:38:59,60.12,82.944,351
359,01/06/22 15:43:59,60.12,80.568,348.2
360,01/06/22 15:48:59,54.108,78.156,355.2
361,01/06/22 15:53:59,54.108,74.556,355.2
362,01/06/22 15:58:59,51.696,73.332,0
363,01/06/22 16:03:59,50.508,67.32,44.9
364,01/06/22 16:08:59,43.272,75.744,342.6
365,01/06/22 16:13:59,49.284,63.72,355.2
366,01/06/22 16:18:59,50.508,72.144,352.4
367,01/06/22 16:23:59,50.508,63.72,355.2
368,01/06/22 16:28:59,45.684,67.32,1.4
369,01/06/22 16:33:59,44.496,64.908,28.1
370,01/06/22 16:38:59,37.26,64.908,4.2
371,01/06/22 16:43:59,55.296,78.156,56.2
372,01/06/22 16:48:59,46.872,69.732,355.2
373,01/06/22 16:53:59,48.096,67.32,1.4
374,01/06/22 16:58:59,54.108,75.744,344
375,01/06/22 17:03:59,55.296,70.92,344
376,01/06/22 17:08:59,48.096,72.144,338.3
377,01/06/22 17:13:59,38.484,61.308,335.5
378,01/06/22 17:18:59,46.872,64.908,349.6
379,01/06/22 17:23:59,48.096,64.908,351
380,01/06/22 17:28:59,46.872,70.92,345.4
381,01/06/22 17:33:59,46.872,64.908,352.4
382,01/06/22 17:38:59,39.672,56.52,355.2
383,01/06/22 17:43:59,39.672,55.296,8.4
384,01/06/22 17:48:59,45.684,58.896,355.2
385,01/06/22 17:53:59,43.272,63.72,352.4
386,01/06/22 17:58:59,42.084,64.908,351
387,01/06/22 18:03:59,46.872,73.332,345.4
388,01/06/22 18:08:59,37.26,55.296,332.7
389,01/06/22 18:13:59,36.072,64.908,5.6
390,01/06/22 18:18:59,38.484,51.696,5.6
391,01/06/22 18:23:59,40.86,57.708,353.8
392,01/06/22 18:28:59,40.86,67.32,42.1
393,01/06/22 18:33:59,34.848,52.884,353.8
394,01/06/22 18:38:59,36.072,51.696,1.4
395,01/06/22 18:43:59,38.484,50.508,7
396,01/06/22 18:48:59,33.66,43.272,0
397,01/06/22 18:53:59,40.86,55.296,355.2
398,01/06/22 18:58:59,37.26,46.872,352.4
399,01/06/22 19:03:59,34.848,46.872,4.2
400,01/06/22 19:08:59,33.66,50.508,8.4
401,01/06/22 19:13:59,33.66,45.684,0
402,01/06/22 19:18:59,33.66,45.684,1.4
403,01/06/22 19:23:59,32.472,46.872,8.4
404,01/06/22 19:28:59,33.66,49.284,0
405,01/06/22 19:33:59,33.66,48.096,355.2
406,01/06/22 19:38:59,36.072,50.508,8.4
407,01/06/22 19:43:59,34.848,48.096,355.2
408,01/06/22 19:48:59,32.472,49.284,30.9
409,01/06/22 19:53:59,34.848,52.884,19.7
410,01/06/22 19:58:59,38.484,57.708,40.7
411,01/06/22 20:03:59,36.072,51.696,351
412,01/06/22 20:08:59,33.66,42.084,5.6
413,01/06/22 20:13:59,37.26,58.896,0
414,01/06/22 20:18:59,36.072,50.508,18.3
415,01/06/22 20:23:59,36.072,56.52,346.8
416,01/06/22 20:28:59,32.472,45.684,1.4
417,01/06/22 20:33:59,40.86,56.52,353.8
418,01/06/22 20:38:59,37.26,49.284,355.2
419,01/06/22 20:43:59,39.672,55.296,353.8
420,01/06/22 20:48:59,40.86,56.52,1.4
421,01/06/22 20:53:59,36.072,49.284,346.8
422,01/06/22 20:58:59,36.072,51.696,344
423,01/06/22 21:03:59,33.66,52.884,351
424,01/06/22 21:08:59,36.072,48.096,349.6
425,01/06/22 21:13:59,38.484,54.108,355.2
426,01/06/22 21:18:59,32.472,48.096,0
427,01/06/22 21:23:59,32.472,48.096,344
428,01/06/22 21:28:59,39.672,50.508,352.4
429,01/06/22 21:33:59,42.084,55.296,348.2
430,01/06/22 21:38:59,42.084,57.708,339.7
431,01/06/22 21:43:59,37.26,48.096,12.6
432,01/06/22 21:48:59,43.272,54.108,348.2
433,01/06/22 21:53:59,42.084,57.708,355.2
434,01/06/22 21:58:59,49.284,63.72,353.8
435,01/06/22 22:03:59,50.508,80.568,346.8
436,01/06/22 22:08:59,48.096,66.132,355.2
437,01/06/22 22:13:59,45.684,58.896,2.8
438,01/06/22 22:18:59,48.096,62.532,351
439,01/06/22 22:23:59,46.872,60.12,353.8
440,01/06/22 22:28:59,49.284,63.72,349.6
441,01/06/22 22:33:59,48.096,64.908,352.4
442,01/06/22 22:38:59,50.508,69.732,353.8
443,01/06/22 22:43:59,46.872,64.908,16.8
444,01/06/22 22:48:59,44.496,62.532,0
445,01/06/22 22:53:59,46.872,64.908,28.1
446,01/06/22 22:58:59,54.108,68.544,89.9
447,01/06/22 23:03:59,51.696,67.32,113.7
448,01/06/22 23:08:59,48.096,63.72,133.4
449,01/06/22 23:13:59,56.52,79.344,130.6
450,01/06/22 23:18:59,56.52,72.144,105.3
451,01/06/22 23:23:59,52.884,68.544,66
452,01/06/22 23:28:59,49.284,61.308,18.3
453,01/06/22 23:33:59,51.696,74.556,2.8
454,01/06/22 23:38:59,54.108,75.744,11.2
455,01/06/22 23:43:59,55.296,75.744,8.4
456,01/06/22 23:48:59,55.296,64.908,355.2
457,01/06/22 23:53:59,57.708,72.144,349.6
458,01/06/22 23:58:59,61.308,79.344,349.6
459,02/06/22 00:03:59,61.308,78.156,346.8
460,02/06/22 00:08:59,61.308,76.932,349.6
461,02/06/22 00:13:59,60.12,79.344,355.2
462,02/06/22 00:18:59,56.52,70.92,355.2
463,02/06/22 00:23:59,57.708,76.932,355.2
464,02/06/22 00:28:59,58.896,79.344,346.8
465,02/06/22 00:33:59,54.108,78.156,346.8
466,02/06/22 00:38:59,54.108,75.744,349.6
467,02/06/22 00:43:59,52.884,73.332,348.2
468,02/06/22 00:48:59,51.696,69.732,344
469,02/06/22 00:53:59,50.508,64.908,345.4
470,02/06/22 00:58:59,48.096,60.12,335.5
471,02/06/22 01:03:59,49.284,67.32,336.9
472,02/06/22 01:08:59,52.884,76.932,336.9
473,02/06/22 01:13:59,51.696,70.92,334.1
474,02/06/22 01:18:59,50.508,63.72,325.7
475,02/06/22 01:23:59,52.884,66.132,334.1
476,02/06/22 01:28:59,52.884,78.156,318.7
477,02/06/22 01:33:59,51.696,64.908,325.7
478,02/06/22 01:38:59,51.696,73.332,325.7
479,02/06/22 01:43:59,52.884,66.132,315.9
480,02/06/22 01:48:59,54.108,73.332,314.5
481,02/06/22 01:53:59,51.696,72.144,320.1
482,02/06/22 01:58:59,51.696,70.92,321.5
483,02/06/22 02:03:59,52.884,63.72,322.9
484,02/06/22 02:08:59,52.884,79.344,327.1
485,02/06/22 02:13:59,52.884,67.32,327.1
486,02/06/22 02:18:59,52.884,64.908,332.7
487,02/06/22 02:23:59,52.884,69.732,322.9
488,02/06/22 02:28:59,51.696,63.72,324.3
489,02/06/22 02:33:59,50.508,61.308,334.1
490,02/06/22 02:38:59,52.884,64.908,334.1
491,02/06/22 02:43:59,50.508,63.72,320.1
492,02/06/22 02:48:59,48.096,63.72,329.9
493,02/06/22 02:53:59,48.096,62.532,336.9
494,02/06/22 02:58:59,45.684,63.72,329.9
495,02/06/22 03:03:59,43.272,52.884,332.7
496,02/06/22 03:08:59,48.096,63.72,315.9
497,02/06/22 03:13:59,49.284,62.532,310.3
498,02/06/22 03:18:59,46.872,58.896,311.7
499,02/06/22 03:23:59,46.872,64.908,317.3
500,02/06/22 03:28:59,46.872,61.308,311.7
501,02/06/22 03:33:59,42.084,57.708,314.5
502,02/06/22 03:38:59,44.496,63.72,307.5
503,02/06/22 03:43:59,36.072,55.296,303.2
504,02/06/22 03:48:59,38.484,52.884,306.1
505,02/06/22 03:53:59,38.484,54.108,307.5
506,02/06/22 03:58:59,40.86,55.296,313.1
507,02/06/22 04:03:59,46.872,62.532,306.1
508,02/06/22 04:08:59,44.496,56.52,301.8
509,02/06/22 04:13:59,45.684,54.108,300.4
510,02/06/22 04:18:59,44.496,55.296,307.5
511,02/06/22 04:23:59,46.872,62.532,303.2
512,02/06/22 04:28:59,46.872,63.72,299
513,02/06/22 04:33:59,45.684,61.308,301.8
514,02/06/22 04:38:59,42.084,56.52,314.5
515,02/06/22 04:43:59,44.496,56.52,320.1
516,02/06/22 04:48:59,45.684,64.908,329.9
517,02/06/22 04:53:59,43.272,60.12,321.5
518,02/06/22 04:58:59,43.272,55.296,317.3
519,02/06/22 05:03:59,43.272,64.908,310.3
520,02/06/22 05:08:59,44.496,62.532,324.3
521,02/06/22 05:13:59,42.084,57.708,329.9
522,02/06/22 05:18:59,42.084,54.108,332.7
523,02/06/22 05:23:59,45.684,62.532,346.8
524,02/06/22 05:28:59,46.872,72.144,344
525,02/06/22 05:33:59,50.508,74.556,342.6
526,02/06/22 05:38:59,46.872,60.12,325.7
527,02/06/22 05:43:59,40.86,54.108,317.3
528,02/06/22 05:48:59,46.872,62.532,332.7
529,02/06/22 05:53:59,48.096,73.332,341.2
530,02/06/22 05:58:59,38.484,56.52,313.1
