"Título de trazado: 20682650"
"N.º","Fecha Tiempo, GMT-03:00","Velocidad del viento, km/hr (LGR S/N: 20682650, SEN S/N: 20679483, LBL: Km/h)","Velocidad de Ráfagas, km/hr (LGR S/N: 20682650, SEN S/N: 20679483, LBL: Km/h)","Dirección del viento, ø (LGR S/N: 20682650, SEN S/N: 20679483, LBL: N-S)"
86,03/13/20 10:17:00 AM,3.600,6.012,108.1
87,03/13/20 10:18:00 AM,4.824,9.612,112.3
88,03/13/20 10:19:00 AM,6.012,8.424,132.0
89,03/13/20 10:20:00 AM,4.824,7.200,144.6
90,03/13/20 10:21:00 AM,4.824,6.012,136.2
91,03/13/20 10:22:00 AM,3.600,4.824,134.8
92,03/13/20 10:23:00 AM,4.824,7.200,134.8
93,03/13/20 10:24:00 AM,7.200,10.836,103.9
94,03/13/20 10:25:00 AM,4.824,8.424,85.6
95,03/13/20 10:26:00 AM,4.824,7.200,82.8
96,03/13/20 10:27:00 AM,3.600,6.012,82.8
97,03/13/20 10:28:00 AM,2.412,6.012,82.8
98,03/13/20 10:29:00 AM,3.600,7.200,94.1
99,03/13/20 10:30:00 AM,6.012,8.424,120.7
100,03/13/20 10:31:00 AM,7.200,9.612,120.7
101,03/13/20 10:32:00 AM,7.200,9.612,124.9
102,03/13/20 10:33:00 AM,10.836,12.024,134.8
103,03/13/20 10:34:00 AM,8.424,10.836,153.0
104,03/13/20 10:35:00 AM,6.012,9.612,147.4
105,03/13/20 10:36:00 AM,4.824,7.200,154.4
106,03/13/20 10:37:00 AM,3.600,4.824,162.9
107,03/13/20 10:38:00 AM,2.412,4.824,162.9
108,03/13/20 10:39:00 AM,4.824,7.200,162.9
109,03/13/20 10:40:00 AM,2.412,4.824,161.5
110,03/13/20 10:41:00 AM,3.600,8.424,161.5
111,03/13/20 10:42:00 AM,8.424,10.836,161.5
112,03/13/20 10:43:00 AM,9.612,10.836,174.1
113,03/13/20 10:44:00 AM,6.012,10.836,179.7
114,03/13/20 10:45:00 AM,9.612,13.212,198.0
115,03/13/20 10:46:00 AM,8.424,9.612,192.3
116,03/13/20 10:47:00 AM,9.612,10.836,141.8
117,03/13/20 10:48:00 AM,7.200,12.024,144.6
118,03/13/20 10:49:00 AM,7.200,12.024,136.2
119,03/13/20 10:50:00 AM,6.012,8.424,136.2
120,03/13/20 10:51:00 AM,8.424,10.836,146.0
121,03/13/20 10:52:00 AM,10.836,13.212,158.6
122,03/13/20 10:53:00 AM,8.424,13.212,154.4
123,03/13/20 10:54:00 AM,9.612,15.624,160.0
124,03/13/20 10:55:00 AM,10.836,14.436,148.8
125,03/13/20 10:56:00 AM,4.824,7.200,140.4
126,03/13/20 10:57:00 AM,3.600,7.200,143.2
127,03/13/20 10:58:00 AM,10.836,15.624,175.5
128,03/13/20 10:59:00 AM,10.836,13.212,174.1
129,03/13/20 11:00:00 AM,9.612,10.836,175.5
130,03/13/20 11:01:00 AM,10.836,13.212,167.1
131,03/13/20 11:02:00 AM,9.612,13.212,144.6
132,03/13/20 11:03:00 AM,6.012,10.836,134.8
133,03/13/20 11:04:00 AM,6.012,10.836,139.0
134,03/13/20 11:05:00 AM,7.200,13.212,141.8
135,03/13/20 11:06:00 AM,9.612,10.836,158.6
136,03/13/20 11:07:00 AM,9.612,10.836,174.1
137,03/13/20 11:08:00 AM,8.424,13.212,147.4
138,03/13/20 11:09:00 AM,8.424,10.836,108.1
139,03/13/20 11:10:00 AM,2.412,4.824,102.5
140,03/13/20 11:11:00 AM,8.424,13.212,151.6
141,03/13/20 11:12:00 AM,9.612,15.624,167.1
142,03/13/20 11:13:00 AM,7.200,10.836,157.2
143,03/13/20 11:14:00 AM,10.836,14.436,157.2
144,03/13/20 11:15:00 AM,12.024,18.036,147.4
145,03/13/20 11:16:00 AM,13.212,19.224,151.6
146,03/13/20 11:17:00 AM,9.612,13.212,144.6
147,03/13/20 11:18:00 AM,10.836,14.436,116.5
148,03/13/20 11:19:00 AM,8.424,10.836,140.4
149,03/13/20 11:20:00 AM,10.836,13.212,155.8
150,03/13/20 11:21:00 AM,10.836,16.848,172.7
151,03/13/20 11:22:00 AM,12.024,15.624,140.4
152,03/13/20 11:23:00 AM,9.612,13.212,140.4
153,03/13/20 11:24:00 AM,6.012,9.612,147.4
154,03/13/20 11:25:00 AM,3.600,6.012,164.3
155,03/13/20 11:26:00 AM,9.612,9.612,158.6
156,03/13/20 11:27:00 AM,8.424,10.836,164.3
157,03/13/20 11:28:00 AM,7.200,10.836,165.7
158,03/13/20 11:29:00 AM,8.424,12.024,178.3
159,03/13/20 11:30:00 AM,9.612,13.212,174.1
160,03/13/20 11:31:00 AM,14.436,19.224,154.4
161,03/13/20 11:32:00 AM,12.024,15.624,169.9
162,03/13/20 11:33:00 AM,12.024,14.436,160.0
163,03/13/20 11:34:00 AM,12.024,14.436,134.8
164,03/13/20 11:35:00 AM,13.212,20.448,127.8
165,03/13/20 11:36:00 AM,9.612,13.212,123.5
166,03/13/20 11:37:00 AM,10.836,14.436,120.7
167,03/13/20 11:38:00 AM,8.424,12.024,112.3
168,03/13/20 11:39:00 AM,8.424,10.836,108.1
169,03/13/20 11:40:00 AM,8.424,15.624,139.0
170,03/13/20 11:41:00 AM,9.612,12.024,157.2
171,03/13/20 11:42:00 AM,13.212,15.624,148.8
172,03/13/20 11:43:00 AM,6.012,9.612,147.4
173,03/13/20 11:44:00 AM,8.424,13.212,154.4
174,03/13/20 11:45:00 AM,9.612,13.212,167.1
175,03/13/20 11:46:00 AM,9.612,12.024,150.2
176,03/13/20 11:47:00 AM,10.836,13.212,155.8
177,03/13/20 11:48:00 AM,9.612,12.024,169.9
178,03/13/20 11:49:00 AM,12.024,16.848,153.0
179,03/13/20 11:50:00 AM,12.024,16.848,141.8
180,03/13/20 11:51:00 AM,10.836,14.436,150.2
181,03/13/20 11:52:00 AM,10.836,15.624,141.8
182,03/13/20 11:53:00 AM,10.836,14.436,153.0
183,03/13/20 11:54:00 AM,6.012,9.612,171.3
184,03/13/20 11:55:00 AM,1.188,4.824,171.3
185,03/13/20 11:56:00 AM,6.012,9.612,175.5
186,03/13/20 11:57:00 AM,9.612,12.024,169.9
187,03/13/20 11:58:00 AM,6.012,8.424,169.9
188,03/13/20 11:59:00 AM,7.200,8.424,169.9
189,03/13/20 12:00:00 PM,9.612,14.436,175.5
190,03/13/20 12:01:00 PM,12.024,16.848,176.9
191,03/13/20 12:02:00 PM,12.024,14.436,174.1
192,03/13/20 12:03:00 PM,8.424,12.024,169.9
193,03/13/20 12:04:00 PM,14.436,20.448,134.8
194,03/13/20 12:05:00 PM,12.024,15.624,154.4
195,03/13/20 12:06:00 PM,9.612,14.436,132.0
196,03/13/20 12:07:00 PM,3.600,6.012,124.9
197,03/13/20 12:08:00 PM,2.412,3.600,124.9
198,03/13/20 12:09:00 PM,3.600,6.012,127.8
199,03/13/20 12:10:00 PM,4.824,9.612,136.2
200,03/13/20 12:11:00 PM,8.424,12.024,175.5
201,03/13/20 12:12:00 PM,9.612,21.636,182.5
202,03/13/20 12:13:00 PM,9.612,14.436,199.4
203,03/13/20 12:14:00 PM,9.612,12.024,174.1
204,03/13/20 12:15:00 PM,12.024,14.436,141.8
205,03/13/20 12:16:00 PM,9.612,13.212,134.8
206,03/13/20 12:17:00 PM,12.024,18.036,176.9
207,03/13/20 12:18:00 PM,12.024,16.848,203.6
208,03/13/20 12:19:00 PM,13.212,15.624,164.3
209,03/13/20 12:20:00 PM,16.848,22.860,200.8
210,03/13/20 12:21:00 PM,9.612,13.212,161.5
211,03/13/20 12:22:00 PM,9.612,14.436,117.9
212,03/13/20 12:23:00 PM,3.600,9.612,120.7
213,03/13/20 12:24:00 PM,3.600,9.612,73.0
214,03/13/20 12:25:00 PM,4.824,7.200,324.3
215,03/13/20 12:26:00 PM,6.012,9.612,99.7
216,03/13/20 12:27:00 PM,7.200,10.836,108.1
217,03/13/20 12:28:00 PM,14.436,24.048,164.3
218,03/13/20 12:29:00 PM,9.612,16.848,165.7
219,03/13/20 12:30:00 PM,9.612,13.212,155.8
220,03/13/20 12:31:00 PM,10.836,16.848,140.4
221,03/13/20 12:32:00 PM,12.024,15.624,144.6
222,03/13/20 12:33:00 PM,10.836,14.436,150.2
223,03/13/20 12:34:00 PM,9.612,14.436,136.2
224,03/13/20 12:35:00 PM,10.836,14.436,99.7
225,03/13/20 12:36:00 PM,10.836,14.436,124.9
226,03/13/20 12:37:00 PM,9.612,12.024,120.7
227,03/13/20 12:38:00 PM,14.436,18.036,103.9
228,03/13/20 12:39:00 PM,12.024,15.624,88.4
229,03/13/20 12:40:00 PM,13.212,14.436,64.6
230,03/13/20 12:41:00 PM,13.212,18.036,89.9
231,03/13/20 12:42:00 PM,14.436,16.848,91.3
232,03/13/20 12:43:00 PM,9.612,13.212,77.2
233,03/13/20 12:44:00 PM,9.612,13.212,60.4
234,03/13/20 12:45:00 PM,6.012,8.424,73.0
235,03/13/20 12:46:00 PM,8.424,9.612,109.5
236,03/13/20 12:47:00 PM,6.012,9.612,113.7
237,03/13/20 12:48:00 PM,7.200,9.612,80.0
238,03/13/20 12:49:00 PM,4.824,8.424,95.5
239,03/13/20 12:50:00 PM,7.200,10.836,139.0
240,03/13/20 12:51:00 PM,14.436,18.036,176.9
241,03/13/20 12:52:00 PM,13.212,16.848,174.1
242,03/13/20 12:53:00 PM,10.836,13.212,176.9
243,03/13/20 12:54:00 PM,4.824,8.424,186.7
244,03/13/20 12:55:00 PM,7.200,13.212,179.7
245,03/13/20 12:56:00 PM,14.436,21.636,137.6
246,03/13/20 12:57:00 PM,13.212,16.848,147.4
247,03/13/20 12:58:00 PM,10.836,16.848,144.6
248,03/13/20 12:59:00 PM,9.612,19.224,96.9
249,03/13/20 01:00:00 PM,9.612,15.624,117.9
250,03/13/20 01:01:00 PM,10.836,15.624,109.5
251,03/13/20 01:02:00 PM,13.212,16.848,129.2
252,03/13/20 01:03:00 PM,15.624,21.636,154.4
253,03/13/20 01:04:00 PM,20.448,27.648,168.5
254,03/13/20 01:05:00 PM,13.212,15.624,81.4
255,03/13/20 01:06:00 PM,8.424,12.024,82.8
256,03/13/20 01:07:00 PM,13.212,24.048,127.8
257,03/13/20 01:08:00 PM,10.836,14.436,120.7
258,03/13/20 01:09:00 PM,14.436,15.624,80.0
259,03/13/20 01:10:00 PM,10.836,13.212,75.8
260,03/13/20 01:11:00 PM,8.424,12.024,122.1
261,03/13/20 01:12:00 PM,13.212,19.224,102.5
262,03/13/20 01:13:00 PM,13.212,15.624,64.6
263,03/13/20 01:14:00 PM,8.424,12.024,54.8
264,03/13/20 01:15:00 PM,13.212,15.624,115.1
265,03/13/20 01:16:00 PM,10.836,16.848,110.9
266,03/13/20 01:17:00 PM,15.624,22.860,124.9
267,03/13/20 01:18:00 PM,9.612,14.436,134.8
268,03/13/20 01:19:00 PM,12.024,16.848,143.2
269,03/13/20 01:20:00 PM,12.024,14.436,151.6
270,03/13/20 01:21:00 PM,4.824,9.612,154.4
271,03/13/20 01:22:00 PM,6.012,12.024,157.2
272,03/13/20 01:23:00 PM,10.836,13.212,153.0
273,03/13/20 01:24:00 PM,13.212,18.036,158.6
274,03/13/20 01:25:00 PM,9.612,13.212,164.3
275,03/13/20 01:26:00 PM,4.824,7.200,188.1
276,03/13/20 01:27:00 PM,12.024,19.224,155.8
277,03/13/20 01:28:00 PM,12.024,14.436,141.8
278,03/13/20 01:29:00 PM,8.424,13.212,136.2
279,03/13/20 01:30:00 PM,13.212,18.036,132.0
280,03/13/20 01:31:00 PM,13.212,15.624,151.6
281,03/13/20 01:32:00 PM,12.024,14.436,132.0
282,03/13/20 01:33:00 PM,10.836,18.036,127.8
283,03/13/20 01:34:00 PM,13.212,18.036,129.2
284,03/13/20 01:35:00 PM,14.436,22.860,147.4
285,03/13/20 01:36:00 PM,12.024,16.848,116.5
286,03/13/20 01:37:00 PM,14.436,18.036,94.1
287,03/13/20 01:38:00 PM,15.624,21.636,103.9
288,03/13/20 01:39:00 PM,8.424,19.224,92.7
289,03/13/20 01:40:00 PM,20.448,25.236,132.0
290,03/13/20 01:41:00 PM,13.212,20.448,115.1
291,03/13/20 01:42:00 PM,3.600,4.824,102.5
292,03/13/20 01:43:00 PM,3.600,6.012,11.2
293,03/13/20 01:44:00 PM,7.200,10.836,123.5
294,03/13/20 01:45:00 PM,14.436,19.224,153.0
295,03/13/20 01:46:00 PM,24.048,32.472,172.7
296,03/13/20 01:47:00 PM,16.848,26.460,164.3
297,03/13/20 01:48:00 PM,10.836,15.624,178.3
298,03/13/20 01:49:00 PM,6.012,13.212,176.9
299,03/13/20 01:50:00 PM,10.836,14.436,157.2
300,03/13/20 01:51:00 PM,10.836,14.436,133.4
301,03/13/20 01:52:00 PM,7.200,12.024,150.2
302,03/13/20 01:53:00 PM,8.424,15.624,119.3
303,03/13/20 01:54:00 PM,3.600,7.200,119.3
304,03/13/20 01:55:00 PM,14.436,20.448,137.6
305,03/13/20 01:56:00 PM,15.624,20.448,130.6
306,03/13/20 01:57:00 PM,18.036,24.048,106.7
307,03/13/20 01:58:00 PM,20.448,24.048,119.3
308,03/13/20 01:59:00 PM,18.036,22.860,123.5
309,03/13/20 02:00:00 PM,14.436,19.224,124.9
310,03/13/20 02:01:00 PM,6.012,9.612,133.4
311,03/13/20 02:02:00 PM,4.824,8.424,155.8
312,03/13/20 02:03:00 PM,9.612,12.024,150.2
313,03/13/20 02:04:00 PM,8.424,10.836,169.9
314,03/13/20 02:05:00 PM,4.824,7.200,189.5
315,03/13/20 02:06:00 PM,3.600,8.424,174.1
316,03/13/20 02:07:00 PM,4.824,7.200,120.7
317,03/13/20 02:08:00 PM,8.424,15.624,259.7
318,03/13/20 02:09:00 PM,7.200,12.024,308.9
319,03/13/20 02:10:00 PM,7.200,8.424,33.7
320,03/13/20 02:11:00 PM,7.200,10.836,61.8
321,03/13/20 02:12:00 PM,8.424,10.836,140.4
322,03/13/20 02:13:00 PM,8.424,10.836,108.1
323,03/13/20 02:14:00 PM,15.624,26.460,153.0
324,03/13/20 02:15:00 PM,18.036,22.860,129.2
325,03/13/20 02:16:00 PM,18.036,20.448,144.6
326,03/13/20 02:17:00 PM,14.436,21.636,154.4
327,03/13/20 02:18:00 PM,12.024,15.624,176.9
328,03/13/20 02:19:00 PM,13.212,18.036,162.9
329,03/13/20 02:20:00 PM,15.624,19.224,134.8
330,03/13/20 02:21:00 PM,16.848,22.860,161.5
331,03/13/20 02:22:00 PM,7.200,14.436,150.2
332,03/13/20 02:23:00 PM,2.412,4.824,148.8
333,03/13/20 02:24:00 PM,2.412,4.824,148.8
334,03/13/20 02:25:00 PM,9.612,13.212,129.2
335,03/13/20 02:26:00 PM,15.624,20.448,169.9
336,03/13/20 02:27:00 PM,18.036,25.236,179.7
337,03/13/20 02:28:00 PM,15.624,18.036,193.7
338,03/13/20 02:29:00 PM,9.612,13.212,230.2
339,03/13/20 02:30:00 PM,13.212,18.036,182.5
340,03/13/20 02:31:00 PM,10.836,18.036,154.4
341,03/13/20 02:32:00 PM,6.012,12.024,179.7
342,03/13/20 02:33:00 PM,4.824,8.424,217.6
343,03/13/20 02:34:00 PM,4.824,7.200,231.6
344,03/13/20 02:35:00 PM,7.200,10.836,199.4
345,03/13/20 02:36:00 PM,3.600,9.612,192.3
346,03/13/20 02:37:00 PM,10.836,19.224,115.1
347,03/13/20 02:38:00 PM,8.424,12.024,158.6
348,03/13/20 02:39:00 PM,9.612,13.212,162.9
349,03/13/20 02:40:00 PM,14.436,22.860,106.7
350,03/13/20 02:41:00 PM,10.836,13.212,94.1
351,03/13/20 02:42:00 PM,13.212,15.624,119.3
352,03/13/20 02:43:00 PM,14.436,19.224,130.6
353,03/13/20 02:44:00 PM,12.024,15.624,108.1
354,03/13/20 02:45:00 PM,12.024,15.624,87.0
355,03/13/20 02:46:00 PM,10.836,16.848,71.6
356,03/13/20 02:47:00 PM,4.824,8.424,73.0
357,03/13/20 02:48:00 PM,6.012,10.836,82.8
358,03/13/20 02:49:00 PM,19.224,24.048,61.8
359,03/13/20 02:50:00 PM,16.848,26.460,61.8
360,03/13/20 02:51:00 PM,12.024,15.624,57.6
361,03/13/20 02:52:00 PM,13.212,18.036,51.9
362,03/13/20 02:53:00 PM,14.436,20.448,32.3
363,03/13/20 02:54:00 PM,19.224,25.236,32.3
364,03/13/20 02:55:00 PM,15.624,19.224,19.7
365,03/13/20 02:56:00 PM,10.836,13.212,8.4
366,03/13/20 02:57:00 PM,8.424,10.836,339.7
367,03/13/20 02:58:00 PM,7.200,8.424,5.6
368,03/13/20 02:59:00 PM,4.824,6.012,299.0
369,03/13/20 03:00:00 PM,3.600,6.012,278.0
370,03/13/20 03:01:00 PM,6.012,10.836,325.7
371,03/13/20 03:02:00 PM,7.200,9.612,85.6
372,03/13/20 03:03:00 PM,9.612,15.624,49.1
373,03/13/20 03:04:00 PM,4.824,7.200,42.1
374,03/13/20 03:05:00 PM,8.424,9.612,82.8
375,03/13/20 03:06:00 PM,7.200,9.612,82.8
376,03/13/20 03:07:00 PM,9.612,12.024,64.6
377,03/13/20 03:08:00 PM,12.024,15.624,49.1
378,03/13/20 03:09:00 PM,13.212,14.436,35.1
379,03/13/20 03:10:00 PM,10.836,13.212,19.7
380,03/13/20 03:11:00 PM,8.424,18.036,338.3
381,03/13/20 03:12:00 PM,12.024,16.848,321.5
382,03/13/20 03:13:00 PM,9.612,13.212,21.1
383,03/13/20 03:14:00 PM,7.200,12.024,7.0
384,03/13/20 03:15:00 PM,14.436,16.848,317.3
385,03/13/20 03:16:00 PM,10.836,21.636,303.2
386,03/13/20 03:17:00 PM,15.624,20.448,311.7
387,03/13/20 03:18:00 PM,9.612,14.436,300.4
388,03/13/20 03:19:00 PM,8.424,13.212,276.6
389,03/13/20 03:20:00 PM,13.212,20.448,276.6
390,03/13/20 03:21:00 PM,18.036,21.636,287.8
391,03/13/20 03:22:00 PM,18.036,25.236,314.5
392,03/13/20 03:23:00 PM,10.836,22.860,315.9
393,03/13/20 03:24:00 PM,15.624,22.860,278.0
394,03/13/20 03:25:00 PM,13.212,18.036,263.9
395,03/13/20 03:26:00 PM,13.212,15.624,258.3
396,03/13/20 03:27:00 PM,12.024,14.436,249.9
397,03/13/20 03:28:00 PM,15.624,19.224,266.7
398,03/13/20 03:29:00 PM,13.212,18.036,254.1
399,03/13/20 03:30:00 PM,13.212,16.848,249.9
400,03/13/20 03:31:00 PM,9.612,15.624,256.9
401,03/13/20 03:32:00 PM,9.612,12.024,251.3
402,03/13/20 03:33:00 PM,9.612,15.624,228.8
403,03/13/20 03:34:00 PM,2.412,4.824,247.1
404,03/13/20 03:35:00 PM,8.424,12.024,240.1
405,03/13/20 03:36:00 PM,7.200,8.424,233.1
406,03/13/20 03:37:00 PM,6.012,9.612,228.8
407,03/13/20 03:38:00 PM,4.824,7.200,227.4
408,03/13/20 03:39:00 PM,1.188,2.412,227.4
409,03/13/20 03:40:00 PM,0.000,2.412,226.0
410,03/13/20 03:41:00 PM,3.600,6.012,226.0
411,03/13/20 03:42:00 PM,3.600,6.012,227.4
412,03/13/20 03:43:00 PM,2.412,4.824,227.4
413,03/13/20 03:44:00 PM,10.836,21.636,64.6
414,03/13/20 03:45:00 PM,21.636,27.648,189.5
415,03/13/20 03:46:00 PM,13.212,20.448,224.6
416,03/13/20 03:47:00 PM,13.212,15.624,248.5
417,03/13/20 03:48:00 PM,8.424,10.836,237.3
418,03/13/20 03:49:00 PM,4.824,9.612,289.2
419,03/13/20 03:50:00 PM,7.200,12.024,252.7
420,03/13/20 03:51:00 PM,10.836,14.436,219.0
421,03/13/20 03:52:00 PM,8.424,10.836,207.8
422,03/13/20 03:53:00 PM,7.200,13.212,200.8
423,03/13/20 03:54:00 PM,7.200,10.836,214.8
424,03/13/20 03:55:00 PM,4.824,7.200,223.2
425,03/13/20 03:56:00 PM,6.012,8.424,206.4
426,03/13/20 03:57:00 PM,12.024,18.036,233.1
427,03/13/20 03:58:00 PM,10.836,14.436,200.8
428,03/13/20 03:59:00 PM,8.424,12.024,230.2
429,03/13/20 04:00:00 PM,9.612,14.436,224.6
430,03/13/20 04:01:00 PM,8.424,12.024,210.6
431,03/13/20 04:02:00 PM,8.424,10.836,221.8
432,03/13/20 04:03:00 PM,3.600,4.824,216.2
433,03/13/20 04:04:00 PM,1.188,2.412,216.2
434,03/13/20 04:05:00 PM,6.012,9.612,153.0
435,03/13/20 04:06:00 PM,9.612,14.436,71.6
436,03/13/20 04:07:00 PM,9.612,10.836,44.9
437,03/13/20 04:08:00 PM,10.836,15.624,42.1
438,03/13/20 04:09:00 PM,15.624,21.636,47.7
439,03/13/20 04:10:00 PM,12.024,14.436,59.0
440,03/13/20 04:11:00 PM,9.612,10.836,78.6
441,03/13/20 04:12:00 PM,12.024,24.048,66.0
442,03/13/20 04:13:00 PM,15.624,19.224,49.1
443,03/13/20 04:14:00 PM,14.436,19.224,56.2
444,03/13/20 04:15:00 PM,14.436,24.048,75.8
445,03/13/20 04:16:00 PM,12.024,15.624,85.6
446,03/13/20 04:17:00 PM,13.212,16.848,81.4
447,03/13/20 04:18:00 PM,10.836,12.024,102.5
448,03/13/20 04:19:00 PM,8.424,9.612,112.3
449,03/13/20 04:20:00 PM,8.424,9.612,88.4
450,03/13/20 04:21:00 PM,4.824,7.200,87.0
451,03/13/20 04:22:00 PM,3.600,6.012,106.7
452,03/13/20 04:23:00 PM,2.412,3.600,106.7
453,03/13/20 04:24:00 PM,1.188,1.188,106.7
454,03/13/20 04:25:00 PM,3.600,6.012,113.7
455,03/13/20 04:26:00 PM,4.824,6.012,127.8
456,03/13/20 04:27:00 PM,7.200,8.424,117.9
457,03/13/20 04:28:00 PM,10.836,14.436,144.6
458,03/13/20 04:29:00 PM,9.612,12.024,160.0
459,03/13/20 04:30:00 PM,7.200,12.024,171.3
460,03/13/20 04:31:00 PM,8.424,10.836,174.1
461,03/13/20 04:32:00 PM,8.424,9.612,196.5
462,03/13/20 04:33:00 PM,6.012,9.612,198.0
463,03/13/20 04:34:00 PM,2.412,3.600,199.4
464,03/13/20 04:35:00 PM,6.012,13.212,176.9
465,03/13/20 04:36:00 PM,9.612,13.212,110.9
466,03/13/20 04:37:00 PM,9.612,10.836,119.3
467,03/13/20 04:38:00 PM,8.424,10.836,124.9
468,03/13/20 04:39:00 PM,7.200,12.024,129.2
469,03/13/20 04:40:00 PM,12.024,18.036,154.4
470,03/13/20 04:41:00 PM,10.836,15.624,141.8
