T�tulo de trazado: 20682650,,,,
N.�,Fecha,Velocidad del viento. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Velocidad de R�fagas. km/hr (LGR S/N: 20682650. SEN S/N: 20679483. LBL: Km/h),Direcci�n del viento. � (LGR S/N: 20682650. SEN S/N: 20679483. LBL: N-S)
318,03/11/19 14:55:13,34.848,40.86,310.3
319,03/11/19 14:56:13,30.06,40.86,325.7
320,03/11/19 14:57:13,24.048,36.072,351
321,03/11/19 14:58:13,30.06,37.26,327.1
322,03/11/19 14:59:13,34.848,42.084,320.1
323,03/11/19 15:00:13,34.848,42.084,317.3
324,03/11/19 15:01:13,36.072,48.096,307.5
325,03/11/19 15:02:13,32.472,38.484,304.7
326,03/11/19 15:03:13,37.26,44.496,318.7
327,03/11/19 15:04:13,33.66,38.484,308.9
328,03/11/19 15:05:13,32.472,38.484,314.5
329,03/11/19 15:06:13,34.848,45.684,314.5
330,03/11/19 15:07:13,34.848,39.672,310.3
331,03/11/19 15:08:13,39.672,46.872,328.5
332,03/11/19 15:09:13,36.072,50.508,324.3
333,03/11/19 15:10:13,32.472,38.484,320.1
334,03/11/19 15:11:13,30.06,36.072,317.3
335,03/11/19 15:12:13,37.26,46.872,315.9
336,03/11/19 15:13:13,34.848,42.084,317.3
337,03/11/19 15:14:13,30.06,39.672,307.5
338,03/11/19 15:15:13,36.072,45.684,320.1
339,03/11/19 15:16:13,46.872,61.308,306.1
340,03/11/19 15:17:13,40.86,46.872,314.5
341,03/11/19 15:18:13,40.86,50.508,310.3
342,03/11/19 15:19:13,44.496,51.696,313.1
343,03/11/19 15:20:13,44.496,50.508,304.7
344,03/11/19 15:21:13,39.672,48.096,308.9
345,03/11/19 15:22:13,37.26,45.684,320.1
346,03/11/19 15:23:13,38.484,49.284,314.5
347,03/11/19 15:24:13,36.072,46.872,329.9
348,03/11/19 15:25:13,39.672,46.872,338.3
349,03/11/19 15:26:13,33.66,43.272,331.3
350,03/11/19 15:27:13,33.66,39.672,320.1
351,03/11/19 15:28:13,36.072,40.86,306.1
352,03/11/19 15:29:13,32.472,38.484,325.7
353,03/11/19 15:30:13,31.248,42.084,322.9
354,03/11/19 15:31:13,38.484,43.272,307.5
355,03/11/19 15:32:13,38.484,46.872,304.7
356,03/11/19 15:33:13,36.072,45.684,314.5
357,03/11/19 15:34:13,38.484,44.496,320.1
358,03/11/19 15:35:13,33.66,44.496,320.1
359,03/11/19 15:36:13,36.072,43.272,311.7
360,03/11/19 15:37:13,36.072,45.684,308.9
361,03/11/19 15:38:13,40.86,48.096,318.7
362,03/11/19 15:39:13,38.484,51.696,324.3
363,03/11/19 15:40:13,43.272,50.508,315.9
364,03/11/19 15:41:13,39.672,52.884,313.1
365,03/11/19 15:42:13,38.484,49.284,310.3
366,03/11/19 15:43:13,30.06,37.26,303.2
367,03/11/19 15:44:13,31.248,36.072,315.9
368,03/11/19 15:45:13,25.236,38.484,322.9
369,03/11/19 15:46:13,26.46,31.248,318.7
370,03/11/19 15:47:13,38.484,43.272,308.9
371,03/11/19 15:48:13,42.084,48.096,320.1
372,03/11/19 15:49:13,39.672,49.284,307.5
373,03/11/19 15:50:13,40.86,46.872,308.9
374,03/11/19 15:51:13,38.484,46.872,307.5
375,03/11/19 15:52:13,36.072,40.86,320.1
376,03/11/19 15:53:13,33.66,43.272,328.5
377,03/11/19 15:54:13,36.072,40.86,313.1
378,03/11/19 15:55:13,37.26,42.084,308.9
379,03/11/19 15:56:13,38.484,52.884,327.1
380,03/11/19 15:57:13,37.26,42.084,342.6
381,03/11/19 15:58:13,49.284,58.896,335.5
382,03/11/19 15:59:13,42.084,48.096,331.3
383,03/11/19 16:00:13,39.672,49.284,320.1
384,03/11/19 16:01:13,39.672,54.108,325.7
385,03/11/19 16:02:13,38.484,46.872,324.3
386,03/11/19 16:03:13,27.648,36.072,344
387,03/11/19 16:04:13,32.472,48.096,307.5
388,03/11/19 16:05:13,43.272,54.108,329.9
389,03/11/19 16:06:13,39.672,48.096,324.3
390,03/11/19 16:07:13,42.084,50.508,338.3
391,03/11/19 16:08:13,33.66,40.86,313.1
392,03/11/19 16:09:13,36.072,56.52,310.3
393,03/11/19 16:10:13,40.86,49.284,331.3
394,03/11/19 16:11:13,28.872,36.072,344
395,03/11/19 16:12:13,28.872,37.26,352.4
396,03/11/19 16:13:13,24.048,50.508,341.2
397,03/11/19 16:14:13,45.684,54.108,331.3
398,03/11/19 16:15:13,38.484,50.508,327.1
399,03/11/19 16:16:13,38.484,48.096,317.3
400,03/11/19 16:17:13,38.484,50.508,315.9
401,03/11/19 16:18:13,36.072,43.272,317.3
402,03/11/19 16:19:13,42.084,50.508,325.7
403,03/11/19 16:20:13,38.484,48.096,335.5
404,03/11/19 16:21:13,45.684,50.508,336.9
405,03/11/19 16:22:13,44.496,51.696,336.9
406,03/11/19 16:23:13,40.86,52.884,329.9
407,03/11/19 16:24:13,37.26,44.496,332.7
408,03/11/19 16:25:13,36.072,48.096,313.1
409,03/11/19 16:26:13,42.084,51.696,315.9
410,03/11/19 16:27:13,40.86,51.696,318.7
411,03/11/19 16:28:13,46.872,52.884,318.7
412,03/11/19 16:29:13,43.272,50.508,314.5
413,03/11/19 16:30:13,43.272,51.696,322.9
414,03/11/19 16:31:13,40.86,48.096,321.5
415,03/11/19 16:32:13,39.672,45.684,314.5
416,03/11/19 16:33:13,42.084,55.296,321.5
417,03/11/19 16:34:13,52.884,62.532,322.9
418,03/11/19 16:35:13,37.26,43.272,311.7
419,03/11/19 16:36:13,38.484,50.508,338.3
420,03/11/19 16:37:13,28.872,43.272,321.5
421,03/11/19 16:38:13,38.484,49.284,328.5
422,03/11/19 16:39:13,31.248,45.684,325.7
423,03/11/19 16:40:13,34.848,50.508,338.3
424,03/11/19 16:41:13,40.86,48.096,328.5
425,03/11/19 16:42:13,36.072,42.084,328.5
426,03/11/19 16:43:13,44.496,50.508,320.1
427,03/11/19 16:44:13,40.86,49.284,331.3
428,03/11/19 16:45:13,38.484,50.508,321.5
429,03/11/19 16:46:13,40.86,50.508,338.3
430,03/11/19 16:47:13,34.848,46.872,335.5
431,03/11/19 16:48:13,42.084,58.896,334.1
432,03/11/19 16:49:13,34.848,44.496,327.1
433,03/11/19 16:50:13,40.86,52.884,320.1
434,03/11/19 16:51:13,45.684,55.296,327.1
435,03/11/19 16:52:13,48.096,58.896,334.1
436,03/11/19 16:53:13,33.66,40.86,344
437,03/11/19 16:54:13,40.86,44.496,339.7
438,03/11/19 16:55:13,40.86,48.096,339.7
439,03/11/19 16:56:13,34.848,42.084,327.1
440,03/11/19 16:57:13,32.472,43.272,334.1
441,03/11/19 16:58:13,31.248,38.484,336.9
442,03/11/19 16:59:13,44.496,54.108,331.3
443,03/11/19 17:00:13,39.672,50.508,332.7
444,03/11/19 17:01:13,22.86,30.06,339.7
445,03/11/19 17:02:13,36.072,45.684,315.9
446,03/11/19 17:03:13,34.848,42.084,315.9
447,03/11/19 17:04:13,43.272,52.884,313.1
448,03/11/19 17:05:13,40.86,51.696,324.3
449,03/11/19 17:06:13,44.496,51.696,317.3
450,03/11/19 17:07:13,45.684,56.52,322.9
451,03/11/19 17:08:13,38.484,54.108,327.1
452,03/11/19 17:09:13,44.496,51.696,324.3
453,03/11/19 17:10:13,40.86,49.284,322.9
454,03/11/19 17:11:13,37.26,46.872,348.2
455,03/11/19 17:12:13,39.672,46.872,320.1
456,03/11/19 17:13:13,39.672,46.872,317.3
457,03/11/19 17:14:13,39.672,50.508,321.5
458,03/11/19 17:15:13,39.672,46.872,322.9
459,03/11/19 17:16:13,38.484,48.096,324.3
460,03/11/19 17:17:13,34.848,50.508,336.9
461,03/11/19 17:18:13,37.26,48.096,320.1
462,03/11/19 17:19:13,43.272,51.696,325.7
463,03/11/19 17:20:13,42.084,55.296,322.9
464,03/11/19 17:21:13,44.496,51.696,324.3
465,03/11/19 17:22:13,38.484,50.508,322.9
466,03/11/19 17:23:13,31.248,37.26,338.3
467,03/11/19 17:24:13,37.26,50.508,328.5
468,03/11/19 17:25:13,39.672,52.884,315.9
469,03/11/19 17:26:13,39.672,51.696,331.3
470,03/11/19 17:27:13,40.86,51.696,341.2
471,03/11/19 17:28:13,37.26,61.308,342.6
472,03/11/19 17:29:13,45.684,56.52,328.5
473,03/11/19 17:30:13,46.872,57.708,322.9
474,03/11/19 17:31:13,36.072,50.508,346.8
475,03/11/19 17:32:13,34.848,44.496,345.4
476,03/11/19 17:33:13,34.848,51.696,332.7
477,03/11/19 17:34:13,32.472,39.672,336.9
478,03/11/19 17:35:13,33.66,49.284,345.4
479,03/11/19 17:36:13,44.496,52.884,336.9
480,03/11/19 17:37:13,39.672,52.884,331.3
481,03/11/19 17:38:13,37.26,52.884,346.8
482,03/11/19 17:39:13,34.848,46.872,341.2
483,03/11/19 17:40:13,34.848,40.86,341.2
484,03/11/19 17:41:13,34.848,44.496,342.6
485,03/11/19 17:42:13,36.072,45.684,346.8
486,03/11/19 17:43:13,34.848,45.684,353.8
487,03/11/19 17:44:13,38.484,49.284,342.6
488,03/11/19 17:45:13,37.26,49.284,349.6
489,03/11/19 17:46:13,42.084,56.52,345.4
490,03/11/19 17:47:13,39.672,45.684,352.4
491,03/11/19 17:48:13,38.484,45.684,344
492,03/11/19 17:49:13,39.672,49.284,339.7
493,03/11/19 17:50:13,37.26,49.284,346.8
494,03/11/19 17:51:13,37.26,40.86,0
495,03/11/19 17:52:13,43.272,56.52,342.6
496,03/11/19 17:53:13,39.672,46.872,348.2
497,03/11/19 17:54:13,43.272,60.12,341.2
498,03/11/19 17:55:13,34.848,42.084,349.6
499,03/11/19 17:56:13,43.272,51.696,342.6
500,03/11/19 17:57:13,44.496,49.284,346.8
501,03/11/19 17:58:13,34.848,44.496,349.6
502,03/11/19 17:59:13,32.472,44.496,341.2
503,03/11/19 18:00:13,42.084,46.872,348.2
504,03/11/19 18:01:13,31.248,40.86,349.6
505,03/11/19 18:02:13,43.272,51.696,341.2
506,03/11/19 18:03:13,45.684,55.296,345.4
507,03/11/19 18:04:13,45.684,56.52,345.4
508,03/11/19 18:05:13,39.672,48.096,346.8
509,03/11/19 18:06:13,38.484,46.872,346.8
510,03/11/19 18:07:13,36.072,49.284,345.4
511,03/11/19 18:08:13,31.248,42.084,355.2
512,03/11/19 18:09:13,30.06,42.084,15.4
513,03/11/19 18:10:13,37.26,43.272,15.4
514,03/11/19 18:11:13,43.272,51.696,2.8
515,03/11/19 18:12:13,32.472,39.672,4.2
516,03/11/19 18:13:13,44.496,57.708,342.6
517,03/11/19 18:14:13,44.496,50.508,344
518,03/11/19 18:15:13,38.484,45.684,344
519,03/11/19 18:16:13,39.672,50.508,345.4
520,03/11/19 18:17:13,37.26,44.496,346.8
521,03/11/19 18:18:13,42.084,51.696,348.2
522,03/11/19 18:19:13,30.06,48.096,12.6
523,03/11/19 18:20:13,28.872,36.072,353.8
524,03/11/19 18:21:13,32.472,40.86,355.2
525,03/11/19 18:22:13,32.472,40.86,9.8
526,03/11/19 18:23:13,30.06,40.86,11.2
527,03/11/19 18:24:13,30.06,38.484,341.2
528,03/11/19 18:25:13,32.472,40.86,346.8
