T�tulo de trazado:  E1,,,,T�tulo
154,06/8/21 20:44:24,43.272,49.284,348.2
155,06/8/21 20:45:24,37.260,46.872,345.4
156,06/8/21 20:46:24,33.660,43.272,344.0
157,06/8/21 20:47:24,36.072,39.672,336.9
158,06/8/21 20:48:24,34.848,42.084,331.3
159,06/8/21 20:49:24,32.472,40.860,336.9
160,06/8/21 20:50:24,34.848,40.860,338.3
161,06/8/21 20:51:24,32.472,42.084,336.9
162,06/8/21 20:52:24,38.484,48.096,336.9
163,06/8/21 20:53:24,44.496,49.284,338.3
164,06/8/21 20:54:24,40.860,46.872,336.9
165,06/8/21 20:55:24,46.872,56.520,331.3
166,06/8/21 20:56:24,43.272,50.508,329.9
167,06/8/21 20:57:24,40.860,49.284,329.9
168,06/8/21 20:58:24,38.484,42.084,327.1
169,06/8/21 20:59:24,31.248,36.072,336.9
170,06/8/21 21:00:24,32.472,39.672,342.6
171,06/8/21 21:01:24,39.672,45.684,345.4
172,06/8/21 21:02:24,36.072,43.272,344.0
173,06/8/21 21:03:24,38.484,48.096,345.4
174,06/8/21 21:04:24,40.860,46.872,345.4
175,06/8/21 21:05:24,42.084,48.096,346.8
176,06/8/21 21:06:24,37.260,46.872,344.0
177,06/8/21 21:07:24,40.860,45.684,336.9
178,06/8/21 21:08:24,42.084,48.096,345.4
179,06/8/21 21:09:24,37.260,43.272,338.3
180,06/8/21 21:10:24,40.860,48.096,342.6
181,06/8/21 21:11:24,38.484,46.872,339.7
182,06/8/21 21:12:24,37.260,43.272,344.0
183,06/8/21 21:13:24,45.684,52.884,344.0
184,06/8/21 21:14:24,42.084,46.872,335.5
185,06/8/21 21:15:24,37.260,46.872,338.3
186,06/8/21 21:16:24,34.848,44.496,334.1
187,06/8/21 21:17:24,32.472,38.484,320.1
188,06/8/21 21:18:24,33.660,37.260,325.7
189,06/8/21 21:19:24,32.472,36.072,334.1
190,06/8/21 21:20:24,31.248,39.672,341.2
191,06/8/21 21:21:24,30.060,37.260,334.1
192,06/8/21 21:22:24,32.472,34.848,329.9
193,06/8/21 21:23:24,30.060,32.472,331.3
194,06/8/21 21:24:24,32.472,38.484,334.1
195,06/8/21 21:25:24,30.060,37.260,331.3
196,06/8/21 21:26:24,33.660,39.672,331.3
197,06/8/21 21:27:24,31.248,34.848,331.3
198,06/8/21 21:28:24,33.660,38.484,335.5
199,06/8/21 21:29:24,34.848,42.084,329.9
200,06/8/21 21:30:24,32.472,37.260,339.7
201,06/8/21 21:31:24,33.660,38.484,344.0
202,06/8/21 21:32:24,30.060,34.848,334.1
203,06/8/21 21:33:24,34.848,38.484,342.6
204,06/8/21 21:34:24,33.660,38.484,336.9
205,06/8/21 21:35:24,37.260,46.872,331.3
206,06/8/21 21:36:24,39.672,48.096,335.5
207,06/8/21 21:37:24,39.672,46.872,332.7
208,06/8/21 21:38:24,37.260,42.084,331.3
209,06/8/21 21:39:24,36.072,40.860,329.9
210,06/8/21 21:40:24,34.848,39.672,327.1
211,06/8/21 21:41:24,32.472,38.484,327.1
212,06/8/21 21:42:24,33.660,38.484,325.7
213,06/8/21 21:43:24,32.472,36.072,334.1
214,06/8/21 21:44:24,34.848,45.684,329.9
215,06/8/21 21:45:24,36.072,39.672,335.5
216,06/8/21 21:46:24,36.072,38.484,335.5
217,06/8/21 21:47:24,36.072,40.860,336.9
218,06/8/21 21:48:24,37.260,43.272,332.7
219,06/8/21 21:49:24,36.072,39.672,334.1
220,06/8/21 21:50:24,34.848,38.484,327.1
221,06/8/21 21:51:24,33.660,37.260,321.5
222,06/8/21 21:52:24,32.472,37.260,320.1
223,06/8/21 21:53:24,28.872,36.072,324.3
224,06/8/21 21:54:24,32.472,38.484,325.7
225,06/8/21 21:55:24,30.060,34.848,325.7
226,06/8/21 21:56:24,30.060,33.660,324.3
227,06/8/21 21:57:24,30.060,34.848,314.5
228,06/8/21 21:58:24,27.648,33.660,314.5
229,06/8/21 21:59:24,24.048,28.872,325.7
230,06/8/21 22:00:24,21.636,25.236,328.5
231,06/8/21 22:01:24,24.048,28.872,327.1
232,06/8/21 22:02:24,22.860,26.460,322.9
233,06/8/21 22:03:24,22.860,26.460,322.9
234,06/8/21 22:04:24,24.048,27.648,318.7
235,06/8/21 22:05:24,26.460,31.248,315.9
236,06/8/21 22:06:24,30.060,37.260,318.7
237,06/8/21 22:07:24,26.460,30.060,320.1
238,06/8/21 22:08:24,28.872,37.260,322.9
239,06/8/21 22:09:24,28.872,33.660,317.3
240,06/8/21 22:10:24,30.060,34.848,322.9
241,06/8/21 22:11:24,31.248,38.484,327.1
242,06/8/21 22:12:24,33.660,38.484,328.5
243,06/8/21 22:13:24,28.872,34.848,327.1
244,06/8/21 22:14:24,32.472,37.260,331.3
245,06/8/21 22:15:24,30.060,36.072,329.9
246,06/8/21 22:16:24,27.648,31.248,327.1
247,06/8/21 22:17:24,28.872,32.472,328.5
248,06/8/21 22:18:24,33.660,38.484,324.3
249,06/8/21 22:19:24,26.460,31.248,332.7
250,06/8/21 22:20:24,28.872,37.260,327.1
251,06/8/21 22:21:24,30.060,36.072,334.1
252,06/8/21 22:22:24,28.872,32.472,334.1
253,06/8/21 22:23:24,28.872,32.472,332.7
254,06/8/21 22:24:24,28.872,32.472,324.3
255,06/8/21 22:25:24,33.660,40.860,322.9
256,06/8/21 22:26:24,32.472,39.672,331.3
257,06/8/21 22:27:24,30.060,34.848,324.3
258,06/8/21 22:28:24,31.248,34.848,322.9
259,06/8/21 22:29:24,31.248,33.660,325.7
260,06/8/21 22:30:24,32.472,37.260,327.1
261,06/8/21 22:31:24,28.872,37.260,329.9
262,06/8/21 22:32:24,28.872,32.472,329.9
263,06/8/21 22:33:24,27.648,32.472,325.7
264,06/8/21 22:34:24,27.648,37.260,321.5
265,06/8/21 22:35:24,30.060,33.660,325.7
266,06/8/21 22:36:24,28.872,33.660,325.7
267,06/8/21 22:37:24,30.060,34.848,325.7
268,06/8/21 22:38:24,32.472,36.072,322.9
269,06/8/21 22:39:24,33.660,39.672,324.3
270,06/8/21 22:40:24,27.648,34.848,327.1
271,06/8/21 22:41:24,25.236,32.472,336.9
272,06/8/21 22:42:24,24.048,26.460,335.5
273,06/8/21 22:43:24,20.448,27.648,332.7
274,06/8/21 22:44:24,30.060,34.848,344.0
275,06/8/21 22:45:24,28.872,33.660,328.5
276,06/8/21 22:46:24,30.060,38.484,331.3
277,06/8/21 22:47:24,28.872,36.072,332.7
278,06/8/21 22:48:24,24.048,30.060,339.7
279,06/8/21 22:49:24,21.636,26.460,341.2
280,06/8/21 22:50:24,19.224,24.048,355.2
281,06/8/21 22:51:24,16.848,20.448,5.6
282,06/8/21 22:52:24,25.236,31.248,8.4
283,06/8/21 22:53:24,28.872,34.848,349.6
284,06/8/21 22:54:24,27.648,33.660,355.2
285,06/8/21 22:55:24,22.860,31.248,12.6
286,06/8/21 22:56:24,16.848,22.860,355.2
287,06/8/21 22:57:24,14.436,19.224,87.0
288,06/8/21 22:58:24,14.436,15.624,80.0
289,06/8/21 22:59:24,12.024,16.848,115.1
290,06/8/21 23:00:24,13.212,22.860,300.4
291,06/8/21 23:01:24,9.612,13.212,16.8
292,06/8/21 23:02:24,10.836,14.436,139.0
293,06/8/21 23:03:24,9.612,13.212,141.8
294,06/8/21 23:04:24,4.824,7.200,36.5
295,06/8/21 23:05:24,8.424,19.224,313.1
296,06/8/21 23:06:24,7.200,14.436,324.3
297,06/8/21 23:07:24,14.436,26.460,351.0
298,06/8/21 23:08:24,22.860,26.460,346.8
299,06/8/21 23:09:24,21.636,28.872,349.6
300,06/8/21 23:10:24,22.860,31.248,351.0
301,06/8/21 23:11:24,21.636,27.648,4.2
302,06/8/21 23:12:24,24.048,28.872,16.8
303,06/8/21 23:13:24,25.236,28.872,351.0
304,06/8/21 23:14:24,22.860,27.648,352.4
305,06/8/21 23:15:24,24.048,32.472,351.0
306,06/8/21 23:16:24,26.460,31.248,39.3
307,06/8/21 23:17:24,22.860,25.236,25.3
308,06/8/21 23:18:24,22.860,28.872,42.1
309,06/8/21 23:19:24,25.236,28.872,9.8
310,06/8/21 23:20:24,26.460,30.060,30.9
311,06/8/21 23:21:24,26.460,36.072,15.4
312,06/8/21 23:22:24,20.448,30.060,32.3
313,06/8/21 23:23:24,22.860,27.648,56.2
314,06/8/21 23:24:24,25.236,28.872,32.3
315,06/8/21 23:25:24,26.460,30.060,49.1
316,06/8/21 23:26:24,25.236,31.248,74.4
317,06/8/21 23:27:24,20.448,26.460,5.6
318,06/8/21 23:28:24,20.448,24.048,349.6
319,06/8/21 23:29:24,24.048,30.060,12.6
320,06/8/21 23:30:24,21.636,26.460,28.1
321,06/8/21 23:31:24,19.224,25.236,40.7
322,06/8/21 23:32:24,22.860,25.236,30.9
323,06/8/21 23:33:24,21.636,31.248,22.5
324,06/8/21 23:34:24,20.448,22.860,25.3
325,06/8/21 23:35:24,21.636,26.460,46.3
326,06/8/21 23:36:24,18.036,21.636,74.4
327,06/8/21 23:37:24,19.224,22.860,42.1
328,06/8/21 23:38:24,18.036,20.448,40.7
329,06/8/21 23:39:24,19.224,22.860,39.3
330,06/8/21 23:40:24,16.848,19.224,101.1
331,06/8/21 23:41:24,19.224,24.048,2.8
332,06/8/21 23:42:24,22.860,26.460,5.6
333,06/8/21 23:43:24,20.448,24.048,44.9
334,06/8/21 23:44:24,20.448,24.048,19.7
335,06/8/21 23:45:24,19.224,21.636,35.1
336,06/8/21 23:46:24,18.036,20.448,18.3
337,06/8/21 23:47:24,16.848,20.448,7.0
338,06/8/21 23:48:24,19.224,20.448,351.0
339,06/8/21 23:49:24,20.448,25.236,345.4
340,06/8/21 23:50:24,20.448,22.860,342.6
341,06/8/21 23:51:24,18.036,22.860,346.8
342,06/8/21 23:52:24,20.448,24.048,349.6
343,06/8/21 23:53:24,19.224,21.636,345.4
344,06/8/21 23:54:24,16.848,19.224,339.7
345,06/8/21 23:55:24,18.036,20.448,342.6
346,06/8/21 23:56:24,15.624,16.848,336.9
347,06/8/21 23:57:24,14.436,16.848,4.2
348,06/8/21 23:58:24,16.848,18.036,344.0
349,06/8/21 23:59:24,16.848,19.224,341.2
350,06/9/21 00:00:24,16.848,21.636,348.2
351,06/9/21 00:01:24,19.224,21.636,351.0
352,06/9/21 00:02:24,15.624,18.036,342.6
353,06/9/21 00:03:24,13.212,14.436,339.7
354,06/9/21 00:04:24,14.436,16.848,348.2
355,06/9/21 00:05:24,13.212,14.436,348.2
356,06/9/21 00:06:24,13.212,15.624,349.6
357,06/9/21 00:07:24,13.212,14.436,345.4
358,06/9/21 00:08:24,14.436,15.624,339.7
359,06/9/21 00:09:24,15.624,18.036,348.2
360,06/9/21 00:10:24,16.848,19.224,352.4
361,06/9/21 00:11:24,14.436,18.036,355.2
362,06/9/21 00:12:24,18.036,19.224,345.4
363,06/9/21 00:13:24,12.024,14.436,352.4
364,06/9/21 00:14:24,13.212,15.624,346.8
365,06/9/21 00:15:24,15.624,16.848,355.2
366,06/9/21 00:16:24,15.624,18.036,346.8
367,06/9/21 00:17:24,13.212,15.624,342.6
368,06/9/21 00:18:24,14.436,16.848,353.8
369,06/9/21 00:19:24,14.436,16.848,348.2
370,06/9/21 00:20:24,13.212,14.436,348.2
371,06/9/21 00:21:24,12.024,14.436,345.4
372,06/9/21 00:22:24,16.848,19.224,349.6
373,06/9/21 00:23:24,15.624,16.848,1.4
374,06/9/21 00:24:24,14.436,16.848,2.8
375,06/9/21 00:25:24,15.624,16.848,99.7
376,06/9/21 00:26:24,15.624,16.848,355.2
377,06/9/21 00:27:24,15.624,19.224,348.2
378,06/9/21 00:28:24,15.624,18.036,355.2
379,06/9/21 00:29:24,14.436,16.848,18.3
380,06/9/21 00:30:24,14.436,16.848,0.0
381,06/9/21 00:31:24,14.436,15.624,345.4
382,06/9/21 00:32:24,13.212,14.436,345.4
383,06/9/21 00:33:24,13.212,14.436,346.8
384,06/9/21 00:34:24,15.624,16.848,344.0
385,06/9/21 00:35:24,15.624,16.848,346.8
386,06/9/21 00:36:24,15.624,16.848,344.0
387,06/9/21 00:37:24,14.436,15.624,352.4
388,06/9/21 00:38:24,14.436,15.624,19.7
389,06/9/21 00:39:24,15.624,16.848,42.1
390,06/9/21 00:40:24,15.624,16.848,33.7
391,06/9/21 00:41:24,15.624,16.848,42.1
392,06/9/21 00:42:24,14.436,15.624,32.3
393,06/9/21 00:43:24,14.436,15.624,122.1
394,06/9/21 00:44:24,13.212,14.436,5.6
395,06/9/21 00:45:24,13.212,13.212,351.0
396,06/9/21 00:46:24,14.436,15.624,342.6
397,06/9/21 00:47:24,15.624,16.848,338.3
398,06/9/21 00:48:24,15.624,15.624,342.6
399,06/9/21 00:49:24,13.212,15.624,345.4
400,06/9/21 00:50:24,12.024,13.212,344.0
401,06/9/21 00:51:24,12.024,13.212,339.7
402,06/9/21 00:52:24,12.024,12.024,334.1
403,06/9/21 00:53:24,13.212,14.436,351.0
404,06/9/21 00:54:24,12.024,13.212,150.2
405,06/9/21 00:55:24,13.212,15.624,42.1
406,06/9/21 00:56:24,13.212,14.436,101.1
407,06/9/21 00:57:24,13.212,14.436,355.2
408,06/9/21 00:58:24,10.836,12.024,352.4
409,06/9/21 00:59:24,10.836,12.024,341.2
410,06/9/21 01:00:24,13.212,15.624,336.9
411,06/9/21 01:01:24,14.436,20.448,335.5
412,06/9/21 01:02:24,16.848,19.224,1.4
413,06/9/21 01:03:24,12.024,15.624,5.6
414,06/9/21 01:04:24,10.836,14.436,47.7
415,06/9/21 01:05:24,4.824,8.424,47.7
416,06/9/21 01:06:24,10.836,14.436,66.0
417,06/9/21 01:07:24,12.024,13.212,56.2
418,06/9/21 01:08:24,14.436,15.624,49.1
419,06/9/21 01:09:24,12.024,14.436,25.3
420,06/9/21 01:10:24,13.212,14.436,43.5
421,06/9/21 01:11:24,13.212,14.436,50.5
422,06/9/21 01:12:24,16.848,22.860,26.7
423,06/9/21 01:13:24,12.024,22.860,7.0
424,06/9/21 01:14:24,7.200,9.612,42.1
425,06/9/21 01:15:24,7.200,9.612,332.7
426,06/9/21 01:16:24,8.424,10.836,346.8
427,06/9/21 01:17:24,6.012,9.612,355.2
428,06/9/21 01:18:24,4.824,7.200,26.7
429,06/9/21 01:19:24,3.600,8.424,36.5
430,06/9/21 01:20:24,7.200,8.424,355.2
431,06/9/21 01:21:24,6.012,7.200,355.2
432,06/9/21 01:22:24,6.012,7.200,328.5
433,06/9/21 01:23:24,4.824,6.012,324.3
434,06/9/21 01:24:24,3.600,4.824,324.3
435,06/9/21 01:25:24,0.000,1.188,324.3
436,06/9/21 01:26:24,1.188,4.824,324.3
437,06/9/21 01:27:24,6.012,8.424,327.1
438,06/9/21 01:28:24,6.012,6.012,331.3
439,06/9/21 01:29:24,4.824,6.012,341.2
440,06/9/21 01:30:24,3.600,4.824,345.4
441,06/9/21 01:31:24,4.824,6.012,11.2
442,06/9/21 01:32:24,2.412,3.600,39.3
443,06/9/21 01:33:24,8.424,13.212,322.9
444,06/9/21 01:34:24,1.188,4.824,314.5
445,06/9/21 01:35:24,1.188,2.412,314.5
446,06/9/21 01:36:24,3.600,4.824,314.5
447,06/9/21 01:37:24,1.188,3.600,315.9
448,06/9/21 01:38:24,1.188,2.412,314.5
449,06/9/21 01:39:24,4.824,7.200,313.1
450,06/9/21 01:40:24,3.600,4.824,311.7
451,06/9/21 01:41:24,4.824,7.200,280.8
452,06/9/21 01:42:24,2.412,4.824,278.0
453,06/9/21 01:43:24,2.412,3.600,278.0
454,06/9/21 01:44:24,2.412,3.600,278.0
455,06/9/21 01:45:24,4.824,7.200,280.8
456,06/9/21 01:46:24,7.200,10.836,88.4
457,06/9/21 01:47:24,4.824,6.012,46.3
458,06/9/21 01:48:24,7.200,9.612,84.2
459,06/9/21 01:49:24,8.424,13.212,60.4
460,06/9/21 01:50:24,7.200,9.612,30.9
461,06/9/21 01:51:24,13.212,18.036,2.8
462,06/9/21 01:52:24,16.848,20.448,339.7
463,06/9/21 01:53:24,12.024,15.624,353.8
464,06/9/21 01:54:24,12.024,16.848,345.4
465,06/9/21 01:55:24,13.212,16.848,353.8
466,06/9/21 01:56:24,14.436,18.036,1.4
467,06/9/21 01:57:24,15.624,16.848,4.2
468,06/9/21 01:58:24,14.436,21.636,28.1
469,06/9/21 01:59:24,12.024,16.848,19.7
470,06/9/21 02:00:24,13.212,16.848,42.1
471,06/9/21 02:01:24,9.612,14.436,355.2
472,06/9/21 02:02:24,9.612,12.024,1.4
473,06/9/21 02:03:24,6.012,9.612,15.4
474,06/9/21 02:04:24,6.012,9.612,21.1
475,06/9/21 02:05:24,4.824,8.424,42.1
476,06/9/21 02:06:24,3.600,7.200,25.3
477,06/9/21 02:07:24,4.824,8.424,327.1
478,06/9/21 02:08:24,7.200,13.212,329.9
479,06/9/21 02:09:24,18.036,22.860,14.0
480,06/9/21 02:10:24,20.448,26.460,56.2
481,06/9/21 02:11:24,19.224,25.236,67.4
482,06/9/21 02:12:24,13.212,14.436,68.8
483,06/9/21 02:13:24,8.424,12.024,68.8
484,06/9/21 02:14:24,6.012,6.012,56.2
485,06/9/21 02:15:24,4.824,6.012,60.4
486,06/9/21 02:16:24,3.600,4.824,61.8
487,06/9/21 02:17:24,6.012,7.200,66.0
488,06/9/21 02:18:24,4.824,7.200,70.2
489,06/9/21 02:19:24,4.824,6.012,71.6
490,06/9/21 02:20:24,4.824,7.200,99.7
491,06/9/21 02:21:24,4.824,6.012,115.1
492,06/9/21 02:22:24,1.188,2.412,112.3
493,06/9/21 02:23:24,2.412,3.600,113.7
494,06/9/21 02:24:24,1.188,3.600,113.7
495,06/9/21 02:25:24,2.412,3.600,113.7
496,06/9/21 02:26:24,1.188,2.412,112.3
497,06/9/21 02:27:24,1.188,2.412,112.3
498,06/9/21 02:28:24,0.000,1.188,112.3
499,06/9/21 02:29:24,0.000,0.000,113.7
500,06/9/21 02:30:24,0.000,0.000,113.7
501,06/9/21 02:31:24,0.000,1.188,112.3
502,06/9/21 02:32:24,2.412,3.600,112.3
503,06/9/21 02:33:24,3.600,6.012,53.3
504,06/9/21 02:34:24,6.012,7.200,25.3
505,06/9/21 02:35:24,8.424,12.024,352.4
506,06/9/21 02:36:24,10.836,13.212,325.7
507,06/9/21 02:37:24,12.024,13.212,318.7
508,06/9/21 02:38:24,10.836,13.212,310.3
509,06/9/21 02:39:24,9.612,12.024,310.3
510,06/9/21 02:40:24,12.024,13.212,320.1
511,06/9/21 02:41:24,12.024,13.212,325.7
512,06/9/21 02:42:24,10.836,13.212,322.9
513,06/9/21 02:43:24,7.200,8.424,313.1
514,06/9/21 02:44:24,6.012,8.424,282.2
515,06/9/21 02:45:24,4.824,7.200,269.6
516,06/9/21 02:46:24,4.824,7.200,269.6
517,06/9/21 02:47:24,4.824,7.200,268.1
518,06/9/21 02:48:24,8.424,10.836,318.7
519,06/9/21 02:49:24,7.200,8.424,327.1
520,06/9/21 02:50:24,8.424,9.612,336.9
521,06/9/21 02:51:24,8.424,9.612,345.4
522,06/9/21 02:52:24,6.012,7.200,344.0
523,06/9/21 02:53:24,3.600,7.200,341.2
524,06/9/21 02:54:24,2.412,3.600,342.6
525,06/9/21 02:55:24,1.188,2.412,341.2
526,06/9/21 02:56:24,2.412,3.600,341.2
527,06/9/21 02:57:24,1.188,2.412,341.2
528,06/9/21 02:58:24,1.188,2.412,342.6
529,06/9/21 02:59:24,2.412,3.600,341.2
530,06/9/21 03:00:24,3.600,3.600,341.2
