"Título de trazado: E2"
"N.º","Fecha Tiempo, GMT-03:00","Velocidad del viento, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr)","Velocidad de Ráfagas, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr)","Dirección del viento, ø (LGR S/N: 20682654, SEN S/N: 20679482, LBL: N/S)"
117,03/29/22 08:16:44 PM,24.048,36.072,157.2
118,03/29/22 08:21:44 PM,32.472,45.684,158.6
119,03/29/22 08:26:44 PM,34.848,44.496,160.0
120,03/29/22 08:31:44 PM,33.660,48.096,157.2
121,03/29/22 08:36:44 PM,36.072,48.096,157.2
122,03/29/22 08:41:44 PM,32.472,44.496,155.8
123,03/29/22 08:46:44 PM,30.060,38.484,157.2
124,03/29/22 08:51:44 PM,31.248,43.272,158.6
125,03/29/22 08:56:44 PM,36.072,45.684,161.5
126,03/29/22 09:01:44 PM,34.848,48.096,161.5
127,03/29/22 09:06:44 PM,37.260,46.872,160.0
128,03/29/22 09:11:44 PM,31.248,38.484,158.6
129,03/29/22 09:16:44 PM,28.872,36.072,157.2
130,03/29/22 09:21:44 PM,28.872,34.848,157.2
131,03/29/22 09:26:44 PM,30.060,37.260,160.0
132,03/29/22 09:31:44 PM,19.224,31.248,171.3
133,03/29/22 09:36:44 PM,13.212,21.636,171.3
134,03/29/22 09:41:44 PM,19.224,28.872,162.9
135,03/29/22 09:46:44 PM,24.048,30.060,161.5
136,03/29/22 09:51:44 PM,21.636,28.872,158.6
137,03/29/22 09:56:44 PM,19.224,24.048,161.5
138,03/29/22 10:01:44 PM,13.212,15.624,165.7
139,03/29/22 10:06:44 PM,13.212,16.848,160.0
140,03/29/22 10:11:44 PM,12.024,16.848,158.6
141,03/29/22 10:16:44 PM,8.424,12.024,158.6
142,03/29/22 10:21:44 PM,9.612,13.212,161.5
143,03/29/22 10:26:44 PM,10.836,13.212,164.3
144,03/29/22 10:31:44 PM,9.612,13.212,161.5
145,03/29/22 10:36:44 PM,13.212,18.036,158.6
146,03/29/22 10:41:44 PM,13.212,19.224,158.6
147,03/29/22 10:46:44 PM,8.424,13.212,160.0
148,03/29/22 10:51:44 PM,9.612,13.212,161.5
149,03/29/22 10:56:44 PM,13.212,16.848,158.6
150,03/29/22 11:01:44 PM,16.848,20.448,161.5
151,03/29/22 11:06:44 PM,16.848,20.448,160.0
152,03/29/22 11:11:44 PM,16.848,20.448,164.3
153,03/29/22 11:16:44 PM,14.436,20.448,160.0
154,03/29/22 11:21:44 PM,18.036,22.860,160.0
155,03/29/22 11:26:44 PM,14.436,20.448,162.9
156,03/29/22 11:31:44 PM,14.436,21.636,167.1
157,03/29/22 11:36:44 PM,14.436,18.036,168.5
158,03/29/22 11:41:44 PM,12.024,20.448,165.7
159,03/29/22 11:46:44 PM,10.836,15.624,160.0
160,03/29/22 11:51:44 PM,10.836,15.624,157.2
161,03/29/22 11:56:44 PM,10.836,15.624,155.8
162,03/30/22 12:01:44 AM,8.424,13.212,155.8
163,03/30/22 12:06:44 AM,7.200,13.212,155.8
164,03/30/22 12:11:44 AM,9.612,15.624,158.6
165,03/30/22 12:16:44 AM,12.024,15.624,160.0
166,03/30/22 12:21:44 AM,10.836,15.624,154.4
167,03/30/22 12:26:44 AM,10.836,15.624,157.2
168,03/30/22 12:31:44 AM,15.624,20.448,161.5
169,03/30/22 12:36:44 AM,14.436,21.636,155.8
170,03/30/22 12:41:44 AM,18.036,21.636,155.8
171,03/30/22 12:46:44 AM,16.848,20.448,155.8
172,03/30/22 12:51:44 AM,16.848,24.048,154.4
173,03/30/22 12:56:44 AM,20.448,24.048,155.8
174,03/30/22 01:01:44 AM,15.624,20.448,162.9
175,03/30/22 01:06:44 AM,14.436,18.036,167.1
176,03/30/22 01:11:44 AM,13.212,15.624,162.9
177,03/30/22 01:16:44 AM,10.836,18.036,167.1
178,03/30/22 01:21:44 AM,3.600,7.200,165.7
179,03/30/22 01:26:44 AM,1.188,3.600,155.8
180,03/30/22 01:31:44 AM,3.600,9.612,160.0
181,03/30/22 01:36:44 AM,8.424,13.212,155.8
182,03/30/22 01:41:44 AM,12.024,28.872,164.3
183,03/30/22 01:46:44 AM,16.848,24.048,162.9
184,03/30/22 01:51:44 AM,18.036,25.236,161.5
185,03/30/22 01:56:44 AM,13.212,21.636,165.7
186,03/30/22 02:01:44 AM,9.612,16.848,157.2
187,03/30/22 02:06:44 AM,6.012,10.836,158.6
188,03/30/22 02:11:44 AM,4.824,15.624,157.2
189,03/30/22 02:16:44 AM,12.024,19.224,165.7
190,03/30/22 02:21:44 AM,12.024,16.848,157.2
191,03/30/22 02:26:44 AM,7.200,9.612,160.0
192,03/30/22 02:31:44 AM,6.012,9.612,169.9
193,03/30/22 02:36:44 AM,8.424,10.836,164.3
194,03/30/22 02:41:44 AM,4.824,8.424,162.9
195,03/30/22 02:46:44 AM,4.824,7.200,168.5
196,03/30/22 02:51:44 AM,6.012,10.836,160.0
197,03/30/22 02:56:44 AM,8.424,13.212,162.9
198,03/30/22 03:01:44 AM,12.024,14.436,155.8
199,03/30/22 03:06:44 AM,10.836,14.436,157.2
200,03/30/22 03:11:44 AM,8.424,10.836,161.5
201,03/30/22 03:16:44 AM,6.012,8.424,161.5
202,03/30/22 03:21:44 AM,8.424,13.212,165.7
203,03/30/22 03:26:44 AM,9.612,13.212,161.5
204,03/30/22 03:31:44 AM,9.612,14.436,157.2
205,03/30/22 03:36:44 AM,10.836,13.212,154.4
206,03/30/22 03:41:44 AM,7.200,12.024,155.8
207,03/30/22 03:46:44 AM,9.612,13.212,154.4
208,03/30/22 03:51:44 AM,7.200,8.424,155.8
209,03/30/22 03:56:44 AM,8.424,14.436,157.2
210,03/30/22 04:01:44 AM,10.836,15.624,158.6
211,03/30/22 04:06:44 AM,8.424,15.624,157.2
212,03/30/22 04:11:44 AM,9.612,12.024,155.8
213,03/30/22 04:16:44 AM,8.424,13.212,154.4
214,03/30/22 04:21:44 AM,4.824,13.212,154.4
215,03/30/22 04:26:44 AM,7.200,12.024,154.4
216,03/30/22 04:31:44 AM,3.600,7.200,150.2
217,03/30/22 04:36:44 AM,1.188,3.600,154.4
218,03/30/22 04:41:44 AM,0.000,0.000,154.4
219,03/30/22 04:46:44 AM,1.188,3.600,157.2
220,03/30/22 04:51:44 AM,1.188,2.412,161.5
221,03/30/22 04:56:44 AM,0.000,2.412,162.9
222,03/30/22 05:01:44 AM,4.824,6.012,161.5
223,03/30/22 05:06:44 AM,4.824,7.200,155.8
224,03/30/22 05:11:44 AM,4.824,8.424,154.4
225,03/30/22 05:16:44 AM,6.012,8.424,154.4
226,03/30/22 05:21:44 AM,3.600,6.012,154.4
227,03/30/22 05:26:44 AM,4.824,7.200,155.8
228,03/30/22 05:31:44 AM,3.600,9.612,157.2
229,03/30/22 05:36:44 AM,6.012,9.612,154.4
230,03/30/22 05:41:44 AM,6.012,8.424,154.4
231,03/30/22 05:46:44 AM,4.824,8.424,154.4
232,03/30/22 05:51:44 AM,4.824,7.200,154.4
233,03/30/22 05:56:44 AM,2.412,6.012,154.4
234,03/30/22 06:01:44 AM,6.012,8.424,154.4
235,03/30/22 06:06:44 AM,3.600,7.200,155.8
236,03/30/22 06:11:44 AM,3.600,6.012,154.4
237,03/30/22 06:16:44 AM,2.412,6.012,154.4
238,03/30/22 06:21:44 AM,2.412,6.012,154.4
239,03/30/22 06:26:44 AM,8.424,10.836,154.4
240,03/30/22 06:31:44 AM,10.836,13.212,155.8
241,03/30/22 06:36:44 AM,9.612,13.212,155.8
242,03/30/22 06:41:44 AM,8.424,12.024,157.2
243,03/30/22 06:46:44 AM,9.612,12.024,155.8
244,03/30/22 06:51:44 AM,9.612,13.212,157.2
245,03/30/22 06:56:44 AM,7.200,9.612,157.2
246,03/30/22 07:01:44 AM,6.012,9.612,155.8
247,03/30/22 07:06:44 AM,3.600,6.012,155.8
248,03/30/22 07:11:44 AM,0.000,2.412,154.4
249,03/30/22 07:16:44 AM,2.412,4.824,154.4
250,03/30/22 07:21:44 AM,2.412,8.424,154.4
251,03/30/22 07:26:44 AM,4.824,9.612,154.4
252,03/30/22 07:31:44 AM,6.012,8.424,155.8
253,03/30/22 07:36:44 AM,2.412,4.824,154.4
254,03/30/22 07:41:44 AM,3.600,8.424,154.4
255,03/30/22 07:46:44 AM,2.412,3.600,154.4
256,03/30/22 07:51:44 AM,3.600,7.200,154.4
257,03/30/22 07:56:44 AM,4.824,10.836,154.4
258,03/30/22 08:01:44 AM,7.200,9.612,154.4
259,03/30/22 08:06:44 AM,6.012,9.612,157.2
260,03/30/22 08:11:44 AM,2.412,7.200,157.2
261,03/30/22 08:16:44 AM,3.600,6.012,155.8
262,03/30/22 08:21:44 AM,2.412,7.200,158.6
263,03/30/22 08:26:44 AM,1.188,4.824,158.6
264,03/30/22 08:31:44 AM,3.600,4.824,157.2
265,03/30/22 08:36:44 AM,1.188,6.012,160.0
266,03/30/22 08:41:44 AM,0.000,3.600,155.8
267,03/30/22 08:46:44 AM,2.412,4.824,157.2
268,03/30/22 08:51:44 AM,2.412,6.012,169.9
269,03/30/22 08:56:44 AM,4.824,6.012,167.1
270,03/30/22 09:01:44 AM,3.600,6.012,160.0
271,03/30/22 09:06:44 AM,4.824,7.200,160.0
272,03/30/22 09:11:44 AM,10.836,13.212,158.6
273,03/30/22 09:16:44 AM,9.612,13.212,164.3
274,03/30/22 09:21:44 AM,7.200,9.612,154.4
275,03/30/22 09:26:44 AM,7.200,10.836,167.1
276,03/30/22 09:31:44 AM,1.188,4.824,157.2
277,03/30/22 09:36:44 AM,0.000,0.000,153.0
278,03/30/22 09:41:44 AM,2.412,6.012,165.7
279,03/30/22 09:46:44 AM,0.000,2.412,154.4
280,03/30/22 09:51:44 AM,2.412,9.612,154.4
281,03/30/22 09:56:44 AM,4.824,10.836,286.4
282,03/30/22 10:01:44 AM,6.012,8.424,188.1
283,03/30/22 10:06:44 AM,6.012,9.612,168.5
284,03/30/22 10:11:44 AM,4.824,12.024,160.0
285,03/30/22 10:16:44 AM,6.012,9.612,226.0
286,03/30/22 10:21:44 AM,6.012,10.836,269.6
287,03/30/22 10:26:44 AM,7.200,10.836,198.0
288,03/30/22 10:31:44 AM,7.200,13.212,174.1
289,03/30/22 10:36:44 AM,7.200,13.212,169.9
290,03/30/22 10:41:44 AM,6.012,12.024,179.7
291,03/30/22 10:46:44 AM,7.200,16.848,113.7
292,03/30/22 10:51:44 AM,6.012,12.024,164.3
293,03/30/22 10:56:44 AM,6.012,13.212,153.0
294,03/30/22 11:01:44 AM,7.200,10.836,164.3
295,03/30/22 11:06:44 AM,7.200,12.024,168.5
296,03/30/22 11:11:44 AM,6.012,9.612,147.4
297,03/30/22 11:16:44 AM,4.824,7.200,143.2
298,03/30/22 11:21:44 AM,9.612,15.624,195.1
299,03/30/22 11:26:44 AM,6.012,10.836,227.4
300,03/30/22 11:31:44 AM,7.200,15.624,203.6
301,03/30/22 11:36:44 AM,8.424,15.624,181.1
302,03/30/22 11:41:44 AM,9.612,15.624,183.9
303,03/30/22 11:46:44 AM,9.612,21.636,169.9
304,03/30/22 11:51:44 AM,9.612,13.212,165.7
305,03/30/22 11:56:44 AM,8.424,14.436,178.3
306,03/30/22 12:01:44 PM,4.824,12.024,217.6
307,03/30/22 12:06:44 PM,10.836,18.036,176.9
308,03/30/22 12:11:44 PM,9.612,16.848,179.7
309,03/30/22 12:16:44 PM,9.612,18.036,179.7
310,03/30/22 12:21:44 PM,6.012,14.436,168.5
311,03/30/22 12:26:44 PM,6.012,14.436,147.4
312,03/30/22 12:31:44 PM,3.600,8.424,175.5
313,03/30/22 12:36:44 PM,6.012,12.024,181.1
314,03/30/22 12:41:44 PM,7.200,18.036,168.5
315,03/30/22 12:46:44 PM,4.824,12.024,157.2
316,03/30/22 12:51:44 PM,12.024,27.648,158.6
317,03/30/22 12:56:44 PM,7.200,13.212,160.0
318,03/30/22 01:01:44 PM,7.200,18.036,167.1
319,03/30/22 01:06:44 PM,13.212,37.260,155.8
320,03/30/22 01:11:44 PM,10.836,27.648,155.8
321,03/30/22 01:16:44 PM,8.424,18.036,167.1
322,03/30/22 01:21:44 PM,18.036,42.084,165.7
323,03/30/22 01:26:44 PM,28.872,45.684,161.5
324,03/30/22 01:31:44 PM,28.872,55.296,161.5
325,03/30/22 01:36:44 PM,21.636,34.848,171.3
326,03/30/22 01:41:44 PM,19.224,31.248,160.0
327,03/30/22 01:46:44 PM,33.660,46.872,154.4
328,03/30/22 01:51:44 PM,33.660,46.872,154.4
329,03/30/22 01:56:44 PM,32.472,50.508,154.4
330,03/30/22 02:01:44 PM,26.460,45.684,154.4
331,03/30/22 02:06:44 PM,13.212,28.872,157.2
332,03/30/22 02:11:44 PM,13.212,36.072,160.0
333,03/30/22 02:16:44 PM,34.848,48.096,154.4
334,03/30/22 02:21:44 PM,33.660,56.520,154.4
335,03/30/22 02:26:44 PM,36.072,51.696,153.0
336,03/30/22 02:31:44 PM,45.684,57.708,153.0
337,03/30/22 02:36:44 PM,31.248,50.508,154.4
338,03/30/22 02:41:44 PM,36.072,66.132,154.4
339,03/30/22 02:46:44 PM,27.648,52.884,150.2
340,03/30/22 02:51:44 PM,34.848,50.508,157.2
341,03/30/22 02:56:44 PM,51.696,70.920,160.0
342,03/30/22 03:01:44 PM,42.084,73.332,155.8
343,03/30/22 03:06:44 PM,46.872,62.532,155.8
344,03/30/22 03:11:44 PM,37.260,52.884,154.4
345,03/30/22 03:16:44 PM,45.684,63.720,154.4
346,03/30/22 03:21:44 PM,37.260,57.708,158.6
347,03/30/22 03:26:44 PM,52.884,74.556,161.5
348,03/30/22 03:31:44 PM,56.520,76.932,160.0
349,03/30/22 03:36:44 PM,51.696,70.920,157.2
350,03/30/22 03:41:44 PM,49.284,63.720,154.4
351,03/30/22 03:46:44 PM,37.260,50.508,154.4
352,03/30/22 03:51:44 PM,37.260,64.908,160.0
353,03/30/22 03:56:44 PM,52.884,73.332,158.6
354,03/30/22 04:01:44 PM,46.872,70.920,155.8
355,03/30/22 04:06:44 PM,39.672,60.120,158.6
356,03/30/22 04:11:44 PM,46.872,74.556,160.0
357,03/30/22 04:16:44 PM,44.496,60.120,157.2
358,03/30/22 04:21:44 PM,45.684,63.720,157.2
359,03/30/22 04:26:44 PM,44.496,73.332,160.0
360,03/30/22 04:31:44 PM,43.272,60.120,157.2
361,03/30/22 04:36:44 PM,43.272,54.108,157.2
362,03/30/22 04:41:44 PM,44.496,70.920,158.6
363,03/30/22 04:46:44 PM,39.672,54.108,158.6
364,03/30/22 04:51:44 PM,43.272,58.896,160.0
365,03/30/22 04:56:44 PM,45.684,57.708,158.6
366,03/30/22 05:01:44 PM,45.684,58.896,158.6
367,03/30/22 05:06:44 PM,43.272,57.708,160.0
368,03/30/22 05:11:44 PM,43.272,54.108,157.2
369,03/30/22 05:16:44 PM,37.260,62.532,158.6
370,03/30/22 05:21:44 PM,43.272,58.896,157.2
371,03/30/22 05:26:44 PM,48.096,69.732,157.2
372,03/30/22 05:31:44 PM,44.496,63.720,157.2
373,03/30/22 05:36:44 PM,38.484,46.872,155.8
374,03/30/22 05:41:44 PM,39.672,56.520,158.6
375,03/30/22 05:46:44 PM,40.860,54.108,157.2
376,03/30/22 05:51:44 PM,36.072,52.884,158.6
377,03/30/22 05:56:44 PM,37.260,51.696,157.2
378,03/30/22 06:01:44 PM,40.860,57.708,155.8
379,03/30/22 06:06:44 PM,44.496,58.896,155.8
380,03/30/22 06:11:44 PM,44.496,60.120,155.8
381,03/30/22 06:16:44 PM,44.496,55.296,155.8
382,03/30/22 06:21:44 PM,38.484,55.296,155.8
383,03/30/22 06:26:44 PM,40.860,58.896,155.8
384,03/30/22 06:31:44 PM,42.084,50.508,155.8
385,03/30/22 06:36:44 PM,36.072,55.296,154.4
386,03/30/22 06:41:44 PM,40.860,61.308,155.8
387,03/30/22 06:46:44 PM,37.260,52.884,155.8
388,03/30/22 06:51:44 PM,39.672,50.508,155.8
389,03/30/22 06:56:44 PM,37.260,50.508,155.8
390,03/30/22 07:01:44 PM,38.484,52.884,155.8
391,03/30/22 07:06:44 PM,40.860,56.520,155.8
392,03/30/22 07:11:44 PM,36.072,49.284,155.8
393,03/30/22 07:16:44 PM,28.872,39.672,157.2
394,03/30/22 07:21:44 PM,30.060,48.096,157.2
395,03/30/22 07:26:44 PM,33.660,50.508,155.8
396,03/30/22 07:31:44 PM,32.472,45.684,155.8
397,03/30/22 07:36:44 PM,20.448,31.248,157.2
398,03/30/22 07:41:44 PM,21.636,26.460,164.3
399,03/30/22 07:46:44 PM,22.860,32.472,158.6
400,03/30/22 07:51:44 PM,21.636,31.248,157.2
401,03/30/22 07:56:44 PM,22.860,42.084,155.8
402,03/30/22 08:01:44 PM,22.860,37.260,157.2
403,03/30/22 08:06:44 PM,27.648,36.072,155.8
404,03/30/22 08:11:44 PM,20.448,26.460,157.2
405,03/30/22 08:16:44 PM,26.460,37.260,155.8
406,03/30/22 08:21:44 PM,26.460,32.472,157.2
407,03/30/22 08:26:44 PM,21.636,33.660,157.2
408,03/30/22 08:31:44 PM,20.448,36.072,154.4
409,03/30/22 08:36:44 PM,27.648,38.484,154.4
410,03/30/22 08:41:44 PM,22.860,43.272,155.8
411,03/30/22 08:46:44 PM,27.648,43.272,155.8
412,03/30/22 08:51:44 PM,26.460,46.872,155.8
413,03/30/22 08:56:44 PM,27.648,48.096,155.8
414,03/30/22 09:01:44 PM,27.648,40.860,155.8
415,03/30/22 09:06:44 PM,28.872,43.272,154.4
416,03/30/22 09:11:44 PM,28.872,49.284,160.0
417,03/30/22 09:16:44 PM,18.036,22.860,165.7
418,03/30/22 09:21:44 PM,15.624,25.236,155.8
419,03/30/22 09:26:44 PM,24.048,54.108,154.4
420,03/30/22 09:31:44 PM,26.460,50.508,164.3
421,03/30/22 09:36:44 PM,16.848,22.860,162.9
422,03/30/22 09:41:44 PM,18.036,27.648,161.5
423,03/30/22 09:46:44 PM,8.424,21.636,154.4
424,03/30/22 09:51:44 PM,19.224,49.284,155.8
425,03/30/22 09:56:44 PM,28.872,46.872,158.6
426,03/30/22 10:01:44 PM,22.860,44.496,157.2
427,03/30/22 10:06:44 PM,18.036,33.660,157.2
428,03/30/22 10:11:44 PM,16.848,22.860,169.9
429,03/30/22 10:16:44 PM,16.848,20.448,162.9
430,03/30/22 10:21:44 PM,19.224,24.048,158.6
431,03/30/22 10:26:44 PM,19.224,26.460,164.3
432,03/30/22 10:31:44 PM,22.860,31.248,164.3
433,03/30/22 10:36:44 PM,16.848,28.872,162.9
434,03/30/22 10:41:44 PM,12.024,20.448,162.9
435,03/30/22 10:46:44 PM,15.624,30.060,164.3
436,03/30/22 10:51:44 PM,15.624,22.860,165.7
437,03/30/22 10:56:44 PM,22.860,32.472,162.9
438,03/30/22 11:01:44 PM,20.448,27.648,164.3
439,03/30/22 11:06:44 PM,19.224,31.248,161.5
440,03/30/22 11:11:44 PM,10.836,22.860,157.2
441,03/30/22 11:16:44 PM,19.224,27.648,155.8
442,03/30/22 11:21:44 PM,20.448,28.872,157.2
443,03/30/22 11:26:44 PM,19.224,28.872,155.8
444,03/30/22 11:31:44 PM,15.624,21.636,162.9
445,03/30/22 11:36:44 PM,15.624,20.448,158.6
446,03/30/22 11:41:44 PM,15.624,21.636,157.2
447,03/30/22 11:46:44 PM,9.612,14.436,155.8
448,03/30/22 11:51:44 PM,8.424,13.212,158.6
449,03/30/22 11:56:44 PM,8.424,14.436,158.6
450,03/31/22 12:01:44 AM,8.424,18.036,155.8
451,03/31/22 12:06:44 AM,22.860,27.648,155.8
452,03/31/22 12:11:44 AM,21.636,30.060,155.8
453,03/31/22 12:16:44 AM,20.448,32.472,157.2
454,03/31/22 12:21:44 AM,18.036,31.248,155.8
455,03/31/22 12:26:44 AM,15.624,19.224,154.4
456,03/31/22 12:31:44 AM,10.836,16.848,155.8
457,03/31/22 12:36:44 AM,12.024,16.848,155.8
458,03/31/22 12:41:44 AM,10.836,14.436,155.8
459,03/31/22 12:46:44 AM,4.824,13.212,154.4
460,03/31/22 12:51:44 AM,10.836,14.436,168.5
461,03/31/22 12:56:44 AM,2.412,4.824,162.9
462,03/31/22 01:01:44 AM,4.824,10.836,153.0
463,03/31/22 01:06:44 AM,4.824,8.424,146.0
464,03/31/22 01:11:44 AM,3.600,4.824,154.4
465,03/31/22 01:16:44 AM,7.200,18.036,157.2
466,03/31/22 01:21:44 AM,7.200,12.024,183.9
467,03/31/22 01:26:44 AM,8.424,10.836,154.4
468,03/31/22 01:31:44 AM,12.024,14.436,157.2
469,03/31/22 01:36:44 AM,13.212,15.624,154.4
470,03/31/22 01:41:44 AM,13.212,15.624,154.4
