"Título de trazado: E2"
"N.º","Fecha Tiempo, GMT-03:00","Velocidad del viento, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr)","Velocidad de Ráfagas, km/hr (LGR S/N: 20682654, SEN S/N: 20679482, LBL: Km/hr)","Dirección del viento, ø (LGR S/N: 20682654, SEN S/N: 20679482, LBL: N/S)"
121,03/18/22 02:48:48 AM,4.824,7.200,161.5
122,03/18/22 02:53:48 AM,7.200,9.612,161.5
123,03/18/22 02:58:48 AM,6.012,8.424,165.7
124,03/18/22 03:03:48 AM,4.824,9.612,157.2
125,03/18/22 03:08:48 AM,2.412,4.824,157.2
126,03/18/22 03:13:48 AM,4.824,7.200,158.6
127,03/18/22 03:18:48 AM,4.824,7.200,157.2
128,03/18/22 03:23:48 AM,6.012,9.612,154.4
129,03/18/22 03:28:48 AM,4.824,8.424,161.5
130,03/18/22 03:33:48 AM,0.000,2.412,168.5
131,03/18/22 03:38:48 AM,3.600,7.200,157.2
132,03/18/22 03:43:48 AM,7.200,9.612,157.2
133,03/18/22 03:48:48 AM,7.200,9.612,155.8
134,03/18/22 03:53:48 AM,6.012,10.836,157.2
135,03/18/22 03:58:48 AM,3.600,6.012,158.6
136,03/18/22 04:03:48 AM,3.600,7.200,167.1
137,03/18/22 04:08:48 AM,3.600,7.200,158.6
138,03/18/22 04:13:48 AM,1.188,4.824,175.5
139,03/18/22 04:18:48 AM,0.000,0.000,160.0
140,03/18/22 04:23:48 AM,3.600,7.200,157.2
141,03/18/22 04:28:48 AM,9.612,12.024,157.2
142,03/18/22 04:33:48 AM,10.836,14.436,157.2
143,03/18/22 04:38:48 AM,12.024,14.436,157.2
144,03/18/22 04:43:48 AM,12.024,15.624,157.2
145,03/18/22 04:48:48 AM,7.200,10.836,157.2
146,03/18/22 04:53:48 AM,6.012,9.612,162.9
147,03/18/22 04:58:48 AM,7.200,10.836,161.5
148,03/18/22 05:03:48 AM,9.612,13.212,158.6
149,03/18/22 05:08:48 AM,4.824,8.424,157.2
150,03/18/22 05:13:48 AM,6.012,8.424,157.2
151,03/18/22 05:18:48 AM,6.012,9.612,157.2
152,03/18/22 05:23:48 AM,2.412,6.012,157.2
153,03/18/22 05:28:48 AM,0.000,3.600,157.2
154,03/18/22 05:33:48 AM,3.600,6.012,155.8
155,03/18/22 05:38:48 AM,4.824,6.012,155.8
156,03/18/22 05:43:48 AM,6.012,7.200,158.6
157,03/18/22 05:48:48 AM,8.424,10.836,160.0
158,03/18/22 05:53:48 AM,7.200,9.612,157.2
159,03/18/22 05:58:48 AM,6.012,8.424,155.8
160,03/18/22 06:03:48 AM,8.424,9.612,155.8
161,03/18/22 06:08:48 AM,3.600,7.200,155.8
162,03/18/22 06:13:48 AM,3.600,4.824,155.8
163,03/18/22 06:18:48 AM,4.824,7.200,155.8
164,03/18/22 06:23:48 AM,6.012,7.200,155.8
165,03/18/22 06:28:48 AM,4.824,7.200,157.2
166,03/18/22 06:33:48 AM,7.200,8.424,161.5
167,03/18/22 06:38:48 AM,7.200,8.424,157.2
168,03/18/22 06:43:48 AM,4.824,7.200,161.5
169,03/18/22 06:48:48 AM,1.188,3.600,167.1
170,03/18/22 06:53:48 AM,1.188,4.824,154.4
171,03/18/22 06:58:48 AM,0.000,0.000,154.4
172,03/18/22 07:03:48 AM,0.000,0.000,154.4
173,03/18/22 07:08:48 AM,2.412,3.600,164.3
174,03/18/22 07:13:48 AM,2.412,4.824,158.6
175,03/18/22 07:18:48 AM,0.000,2.412,155.8
176,03/18/22 07:23:48 AM,3.600,7.200,157.2
177,03/18/22 07:28:48 AM,1.188,3.600,157.2
178,03/18/22 07:33:48 AM,0.000,3.600,165.7
179,03/18/22 07:38:48 AM,0.000,0.000,178.3
180,03/18/22 07:43:48 AM,1.188,4.824,167.1
181,03/18/22 07:48:48 AM,2.412,3.600,154.4
182,03/18/22 07:53:48 AM,2.412,3.600,158.6
183,03/18/22 07:58:48 AM,2.412,4.824,157.2
184,03/18/22 08:03:48 AM,3.600,6.012,160.0
185,03/18/22 08:08:48 AM,3.600,6.012,155.8
186,03/18/22 08:13:48 AM,2.412,4.824,154.4
187,03/18/22 08:18:48 AM,0.000,2.412,160.0
188,03/18/22 08:23:48 AM,0.000,0.000,155.8
189,03/18/22 08:28:48 AM,1.188,2.412,155.8
190,03/18/22 08:33:48 AM,1.188,3.600,154.4
191,03/18/22 08:38:48 AM,2.412,4.824,154.4
192,03/18/22 08:43:48 AM,7.200,10.836,165.7
193,03/18/22 08:48:48 AM,7.200,10.836,227.4
194,03/18/22 08:53:48 AM,8.424,14.436,214.8
195,03/18/22 08:58:48 AM,6.012,10.836,223.2
196,03/18/22 09:03:48 AM,6.012,12.024,217.6
197,03/18/22 09:08:48 AM,9.612,13.212,198.0
198,03/18/22 09:13:48 AM,9.612,14.436,195.1
199,03/18/22 09:18:48 AM,9.612,12.024,200.8
200,03/18/22 09:23:48 AM,7.200,10.836,206.4
201,03/18/22 09:28:48 AM,9.612,15.624,196.5
202,03/18/22 09:33:48 AM,9.612,12.024,199.4
203,03/18/22 09:38:48 AM,10.836,14.436,212.0
204,03/18/22 09:43:48 AM,10.836,14.436,198.0
205,03/18/22 09:48:48 AM,7.200,12.024,195.1
206,03/18/22 09:53:48 AM,6.012,10.836,193.7
207,03/18/22 09:58:48 AM,4.824,9.612,196.5
208,03/18/22 10:03:48 AM,3.600,9.612,171.3
209,03/18/22 10:08:48 AM,3.600,7.200,168.5
210,03/18/22 10:13:48 AM,2.412,7.200,297.6
211,03/18/22 10:18:48 AM,1.188,3.600,178.3
212,03/18/22 10:23:48 AM,3.600,10.836,198.0
213,03/18/22 10:28:48 AM,4.824,8.424,151.6
214,03/18/22 10:33:48 AM,3.600,13.212,161.5
215,03/18/22 10:38:48 AM,3.600,10.836,207.8
216,03/18/22 10:43:48 AM,8.424,12.024,161.5
217,03/18/22 10:48:48 AM,4.824,10.836,133.4
218,03/18/22 10:53:48 AM,8.424,14.436,217.6
219,03/18/22 10:58:48 AM,6.012,10.836,346.8
220,03/18/22 11:03:48 AM,2.412,7.200,282.2
221,03/18/22 11:08:48 AM,7.200,13.212,158.6
222,03/18/22 11:13:48 AM,7.200,15.624,188.1
223,03/18/22 11:18:48 AM,3.600,10.836,147.4
224,03/18/22 11:23:48 AM,4.824,9.612,162.9
225,03/18/22 11:28:48 AM,9.612,18.036,196.5
226,03/18/22 11:33:48 AM,7.200,14.436,161.5
227,03/18/22 11:38:48 AM,6.012,14.436,205.0
228,03/18/22 11:43:48 AM,7.200,15.624,193.7
229,03/18/22 11:48:48 AM,6.012,15.624,157.2
230,03/18/22 11:53:48 AM,8.424,18.036,165.7
231,03/18/22 11:58:48 AM,10.836,20.448,179.7
232,03/18/22 12:03:48 PM,9.612,14.436,167.1
233,03/18/22 12:08:48 PM,9.612,16.848,146.0
234,03/18/22 12:13:48 PM,8.424,18.036,143.2
235,03/18/22 12:18:48 PM,6.012,9.612,160.0
236,03/18/22 12:23:48 PM,6.012,15.624,161.5
237,03/18/22 12:28:48 PM,14.436,25.236,182.5
238,03/18/22 12:33:48 PM,8.424,14.436,155.8
239,03/18/22 12:38:48 PM,7.200,12.024,192.3
240,03/18/22 12:43:48 PM,10.836,21.636,186.7
241,03/18/22 12:48:48 PM,4.824,10.836,176.9
242,03/18/22 12:53:48 PM,8.424,13.212,179.7
243,03/18/22 12:58:48 PM,9.612,19.224,189.5
244,03/18/22 01:03:48 PM,12.024,22.860,169.9
245,03/18/22 01:08:48 PM,12.024,20.448,157.2
246,03/18/22 01:13:48 PM,12.024,19.224,147.4
247,03/18/22 01:18:48 PM,9.612,14.436,150.2
248,03/18/22 01:23:48 PM,10.836,24.048,151.6
249,03/18/22 01:28:48 PM,15.624,26.460,143.2
250,03/18/22 01:33:48 PM,18.036,27.648,146.0
251,03/18/22 01:38:48 PM,14.436,21.636,157.2
252,03/18/22 01:43:48 PM,13.212,20.448,167.1
253,03/18/22 01:48:48 PM,10.836,25.236,167.1
254,03/18/22 01:53:48 PM,15.624,25.236,147.4
255,03/18/22 01:58:48 PM,12.024,21.636,160.0
256,03/18/22 02:03:48 PM,14.436,26.460,182.5
257,03/18/22 02:08:48 PM,8.424,14.436,183.9
258,03/18/22 02:13:48 PM,6.012,12.024,172.7
259,03/18/22 02:18:48 PM,13.212,25.236,176.9
260,03/18/22 02:23:48 PM,15.624,28.872,172.7
261,03/18/22 02:28:48 PM,12.024,18.036,148.8
262,03/18/22 02:33:48 PM,12.024,22.860,162.9
263,03/18/22 02:38:48 PM,10.836,18.036,176.9
264,03/18/22 02:43:48 PM,10.836,21.636,169.9
265,03/18/22 02:48:48 PM,10.836,26.460,147.4
266,03/18/22 02:53:48 PM,8.424,21.636,164.3
267,03/18/22 02:58:48 PM,13.212,25.236,148.8
268,03/18/22 03:03:48 PM,12.024,18.036,146.0
269,03/18/22 03:08:48 PM,13.212,21.636,151.6
270,03/18/22 03:13:48 PM,12.024,20.448,150.2
271,03/18/22 03:18:48 PM,14.436,21.636,153.0
272,03/18/22 03:23:48 PM,8.424,19.224,148.8
273,03/18/22 03:28:48 PM,9.612,19.224,151.6
274,03/18/22 03:33:48 PM,13.212,26.460,161.5
275,03/18/22 03:38:48 PM,12.024,18.036,158.6
276,03/18/22 03:43:48 PM,13.212,20.448,174.1
277,03/18/22 03:48:48 PM,15.624,26.460,154.4
278,03/18/22 03:53:48 PM,16.848,25.236,161.5
279,03/18/22 03:58:48 PM,15.624,20.448,153.0
280,03/18/22 04:03:48 PM,16.848,28.872,146.0
281,03/18/22 04:08:48 PM,15.624,26.460,168.5
282,03/18/22 04:13:48 PM,18.036,30.060,160.0
283,03/18/22 04:18:48 PM,16.848,27.648,164.3
284,03/18/22 04:23:48 PM,13.212,19.224,155.8
285,03/18/22 04:28:48 PM,14.436,27.648,165.7
286,03/18/22 04:33:48 PM,19.224,26.460,147.4
287,03/18/22 04:38:48 PM,20.448,32.472,147.4
288,03/18/22 04:43:48 PM,14.436,25.236,150.2
289,03/18/22 04:48:48 PM,10.836,18.036,151.6
290,03/18/22 04:53:48 PM,15.624,31.248,143.2
291,03/18/22 04:58:48 PM,12.024,25.236,144.6
292,03/18/22 05:03:48 PM,9.612,16.848,158.6
293,03/18/22 05:08:48 PM,12.024,19.224,183.9
294,03/18/22 05:13:48 PM,9.612,33.660,165.7
295,03/18/22 05:18:48 PM,18.036,34.848,157.2
296,03/18/22 05:23:48 PM,24.048,39.672,154.4
297,03/18/22 05:28:48 PM,34.848,43.272,154.4
298,03/18/22 05:33:48 PM,27.648,38.484,155.8
299,03/18/22 05:38:48 PM,31.248,52.884,157.2
300,03/18/22 05:43:48 PM,26.460,34.848,155.8
301,03/18/22 05:48:48 PM,25.236,42.084,157.2
302,03/18/22 05:53:48 PM,30.060,48.096,157.2
303,03/18/22 05:58:48 PM,34.848,54.108,157.2
304,03/18/22 06:03:48 PM,27.648,44.496,157.2
305,03/18/22 06:08:48 PM,34.848,56.520,155.8
306,03/18/22 06:13:48 PM,26.460,38.484,157.2
307,03/18/22 06:18:48 PM,36.072,52.884,158.6
308,03/18/22 06:23:48 PM,33.660,42.084,158.6
309,03/18/22 06:28:48 PM,36.072,48.096,160.0
310,03/18/22 06:33:48 PM,37.260,48.096,158.6
311,03/18/22 06:38:48 PM,34.848,44.496,160.0
312,03/18/22 06:43:48 PM,34.848,48.096,161.5
313,03/18/22 06:48:48 PM,39.672,49.284,160.0
314,03/18/22 06:53:48 PM,34.848,46.872,160.0
315,03/18/22 06:58:48 PM,34.848,48.096,158.6
316,03/18/22 07:03:48 PM,33.660,42.084,162.9
317,03/18/22 07:08:48 PM,32.472,42.084,161.5
318,03/18/22 07:13:48 PM,28.872,39.672,158.6
319,03/18/22 07:18:48 PM,33.660,42.084,161.5
320,03/18/22 07:23:48 PM,33.660,44.496,158.6
321,03/18/22 07:28:48 PM,33.660,43.272,158.6
322,03/18/22 07:33:48 PM,30.060,37.260,155.8
323,03/18/22 07:38:48 PM,28.872,36.072,155.8
324,03/18/22 07:43:48 PM,30.060,42.084,157.2
325,03/18/22 07:48:48 PM,30.060,38.484,157.2
326,03/18/22 07:53:48 PM,32.472,43.272,157.2
327,03/18/22 07:58:48 PM,31.248,43.272,155.8
328,03/18/22 08:03:48 PM,27.648,44.496,157.2
329,03/18/22 08:08:48 PM,28.872,42.084,158.6
330,03/18/22 08:13:48 PM,32.472,48.096,158.6
331,03/18/22 08:18:48 PM,32.472,48.096,158.6
332,03/18/22 08:23:48 PM,27.648,44.496,157.2
333,03/18/22 08:28:48 PM,30.060,43.272,157.2
334,03/18/22 08:33:48 PM,27.648,34.848,157.2
335,03/18/22 08:38:48 PM,28.872,37.260,157.2
336,03/18/22 08:43:48 PM,36.072,48.096,157.2
337,03/18/22 08:48:48 PM,33.660,43.272,157.2
338,03/18/22 08:53:48 PM,36.072,45.684,157.2
339,03/18/22 08:58:48 PM,33.660,38.484,157.2
340,03/18/22 09:03:48 PM,32.472,38.484,157.2
341,03/18/22 09:08:48 PM,31.248,43.272,157.2
342,03/18/22 09:13:48 PM,34.848,43.272,157.2
343,03/18/22 09:18:48 PM,34.848,39.672,157.2
344,03/18/22 09:23:48 PM,37.260,46.872,157.2
345,03/18/22 09:28:48 PM,32.472,39.672,158.6
346,03/18/22 09:33:48 PM,33.660,46.872,158.6
347,03/18/22 09:38:48 PM,45.684,51.696,161.5
348,03/18/22 09:43:48 PM,38.484,50.508,160.0
349,03/18/22 09:48:48 PM,36.072,44.496,161.5
350,03/18/22 09:53:48 PM,33.660,43.272,161.5
351,03/18/22 09:58:48 PM,31.248,40.860,165.7
352,03/18/22 10:03:48 PM,25.236,37.260,162.9
353,03/18/22 10:08:48 PM,24.048,32.472,160.0
354,03/18/22 10:13:48 PM,20.448,27.648,157.2
355,03/18/22 10:18:48 PM,10.836,15.624,153.0
356,03/18/22 10:23:48 PM,12.024,14.436,148.8
357,03/18/22 10:28:48 PM,12.024,15.624,144.6
358,03/18/22 10:33:48 PM,7.200,13.212,140.4
359,03/18/22 10:38:48 PM,7.200,12.024,134.8
360,03/18/22 10:43:48 PM,6.012,9.612,139.0
361,03/18/22 10:48:48 PM,4.824,7.200,143.2
362,03/18/22 10:53:48 PM,3.600,7.200,151.6
363,03/18/22 10:58:48 PM,10.836,19.224,154.4
364,03/18/22 11:03:48 PM,9.612,13.212,157.2
365,03/18/22 11:08:48 PM,6.012,8.424,158.6
366,03/18/22 11:13:48 PM,2.412,4.824,155.8
367,03/18/22 11:18:48 PM,4.824,8.424,157.2
368,03/18/22 11:23:48 PM,10.836,16.848,155.8
369,03/18/22 11:28:48 PM,10.836,14.436,158.6
370,03/18/22 11:33:48 PM,9.612,14.436,158.6
371,03/18/22 11:38:48 PM,12.024,15.624,155.8
372,03/18/22 11:43:48 PM,8.424,10.836,158.6
373,03/18/22 11:48:48 PM,10.836,14.436,155.8
374,03/18/22 11:53:48 PM,4.824,9.612,155.8
375,03/18/22 11:58:48 PM,1.188,3.600,150.2
376,03/19/22 12:03:48 AM,0.000,4.824,139.0
377,03/19/22 12:08:48 AM,3.600,8.424,154.4
378,03/19/22 12:13:48 AM,7.200,9.612,154.4
379,03/19/22 12:18:48 AM,4.824,9.612,155.8
380,03/19/22 12:23:48 AM,6.012,10.836,155.8
381,03/19/22 12:28:48 AM,13.212,15.624,154.4
382,03/19/22 12:33:48 AM,12.024,13.212,150.2
383,03/19/22 12:38:48 AM,13.212,14.436,154.4
384,03/19/22 12:43:48 AM,13.212,15.624,154.4
385,03/19/22 12:48:48 AM,12.024,15.624,151.6
386,03/19/22 12:53:48 AM,13.212,16.848,154.4
387,03/19/22 12:58:48 AM,12.024,14.436,154.4
388,03/19/22 01:03:48 AM,12.024,15.624,154.4
389,03/19/22 01:08:48 AM,12.024,14.436,154.4
390,03/19/22 01:13:48 AM,6.012,12.024,137.6
391,03/19/22 01:18:48 AM,2.412,6.012,147.4
392,03/19/22 01:23:48 AM,4.824,6.012,139.0
393,03/19/22 01:28:48 AM,7.200,9.612,148.8
394,03/19/22 01:33:48 AM,3.600,8.424,146.0
395,03/19/22 01:38:48 AM,4.824,8.424,150.2
396,03/19/22 01:43:48 AM,6.012,8.424,157.2
397,03/19/22 01:48:48 AM,4.824,8.424,160.0
398,03/19/22 01:53:48 AM,3.600,12.024,157.2
399,03/19/22 01:58:48 AM,7.200,15.624,155.8
400,03/19/22 02:03:48 AM,6.012,13.212,155.8
401,03/19/22 02:08:48 AM,14.436,16.848,155.8
402,03/19/22 02:13:48 AM,12.024,15.624,154.4
403,03/19/22 02:18:48 AM,14.436,16.848,154.4
404,03/19/22 02:23:48 AM,15.624,16.848,155.8
405,03/19/22 02:28:48 AM,15.624,18.036,155.8
406,03/19/22 02:33:48 AM,8.424,16.848,154.4
407,03/19/22 02:38:48 AM,0.000,2.412,154.4
408,03/19/22 02:43:48 AM,0.000,3.600,154.4
409,03/19/22 02:48:48 AM,1.188,3.600,154.4
410,03/19/22 02:53:48 AM,0.000,1.188,154.4
411,03/19/22 02:58:48 AM,3.600,7.200,151.6
412,03/19/22 03:03:48 AM,4.824,7.200,153.0
413,03/19/22 03:08:48 AM,4.824,7.200,154.4
414,03/19/22 03:13:48 AM,3.600,7.200,153.0
415,03/19/22 03:18:48 AM,6.012,8.424,165.7
416,03/19/22 03:23:48 AM,8.424,10.836,161.5
417,03/19/22 03:28:48 AM,8.424,12.024,160.0
418,03/19/22 03:33:48 AM,10.836,12.024,157.2
419,03/19/22 03:38:48 AM,10.836,12.024,158.6
420,03/19/22 03:43:48 AM,12.024,15.624,158.6
421,03/19/22 03:48:48 AM,13.212,14.436,157.2
422,03/19/22 03:53:48 AM,10.836,13.212,158.6
423,03/19/22 03:58:48 AM,8.424,12.024,158.6
424,03/19/22 04:03:48 AM,9.612,13.212,158.6
425,03/19/22 04:08:48 AM,9.612,13.212,158.6
426,03/19/22 04:13:48 AM,8.424,14.436,157.2
427,03/19/22 04:18:48 AM,4.824,8.424,123.5
428,03/19/22 04:23:48 AM,2.412,4.824,143.2
429,03/19/22 04:28:48 AM,0.000,2.412,92.7
430,03/19/22 04:33:48 AM,1.188,6.012,73.0
431,03/19/22 04:38:48 AM,4.824,9.612,150.2
432,03/19/22 04:43:48 AM,2.412,7.200,154.4
433,03/19/22 04:48:48 AM,0.000,2.412,154.4
434,03/19/22 04:53:48 AM,0.000,3.600,154.4
435,03/19/22 04:58:48 AM,0.000,3.600,154.4
436,03/19/22 05:03:48 AM,2.412,3.600,154.4
437,03/19/22 05:08:48 AM,1.188,3.600,154.4
438,03/19/22 05:13:48 AM,1.188,2.412,154.4
439,03/19/22 05:18:48 AM,1.188,2.412,154.4
440,03/19/22 05:23:48 AM,2.412,4.824,153.0
441,03/19/22 05:28:48 AM,4.824,8.424,155.8
442,03/19/22 05:33:48 AM,8.424,9.612,157.2
443,03/19/22 05:38:48 AM,8.424,10.836,157.2
444,03/19/22 05:43:48 AM,8.424,9.612,157.2
445,03/19/22 05:48:48 AM,7.200,9.612,158.6
446,03/19/22 05:53:48 AM,4.824,7.200,158.6
447,03/19/22 05:58:48 AM,2.412,3.600,157.2
448,03/19/22 06:03:48 AM,1.188,3.600,158.6
449,03/19/22 06:08:48 AM,0.000,3.600,154.4
450,03/19/22 06:13:48 AM,1.188,2.412,154.4
451,03/19/22 06:18:48 AM,0.000,2.412,154.4
452,03/19/22 06:23:48 AM,1.188,2.412,158.6
453,03/19/22 06:28:48 AM,0.000,2.412,157.2
454,03/19/22 06:33:48 AM,3.600,4.824,158.6
455,03/19/22 06:38:48 AM,1.188,3.600,154.4
456,03/19/22 06:43:48 AM,2.412,3.600,154.4
457,03/19/22 06:48:48 AM,0.000,1.188,155.8
458,03/19/22 06:53:48 AM,0.000,0.000,155.8
459,03/19/22 06:58:48 AM,1.188,6.012,160.0
460,03/19/22 07:03:48 AM,4.824,7.200,154.4
461,03/19/22 07:08:48 AM,3.600,7.200,157.2
462,03/19/22 07:13:48 AM,4.824,7.200,160.0
463,03/19/22 07:18:48 AM,3.600,7.200,157.2
464,03/19/22 07:23:48 AM,3.600,4.824,161.5
465,03/19/22 07:28:48 AM,2.412,4.824,157.2
466,03/19/22 07:33:48 AM,4.824,8.424,160.0
467,03/19/22 07:38:48 AM,7.200,8.424,157.2
468,03/19/22 07:43:48 AM,6.012,7.200,160.0
469,03/19/22 07:48:48 AM,4.824,7.200,158.6
470,03/19/22 07:53:48 AM,4.824,6.012,157.2
